AppTimestamp(s),SensorTimestamp(s),gyro_x,gyro_y,gyro_z
0.0644,5778.8081,0.04349,-0.09633,-0.09098
0.0672,5778.8281,-0.44031,-0.44452,-0.04455
0.0695,5778.8481,-0.83676,-0.63511,-0.07693
0.0731,5778.8681,-0.79645,-0.5276,-0.14168
0.0757,5778.888,-0.62724,-0.21728,-0.0134
0.0963,5778.908,-0.36945,-0.27776,0.07212
0.1133,5778.928,-0.19658,-0.41093,-0.1484
0.1566,5778.948,-0.22101,-0.70048,-0.25041
0.159,5778.968,-0.31814,-0.27592,-0.26385
0.1714,5778.988,-0.31203,-0.53676,-0.03783
0.193,5779.008,-0.22956,-1.24537,0.11183
0.2114,5779.028,-0.32425,-2.01994,0.18147
0.2324,5779.048,-0.97726,-0.73957,0.20957
0.26,5779.068,-1.16969,0.19505,0.47407
0.2835,5779.088,-0.95344,-0.1678,0.32197
0.2919,5779.108,-0.43848,-0.48728,0.02325
0.3139,5779.128,-0.41527,-0.58685,-0.12519
0.337,5779.148,-0.46719,-0.8874,-0.01523
0.3523,5779.168,-0.25339,-0.58441,0.07945
0.3738,5779.188,-0.01882,-0.31868,0.16131
0.3951,5779.208,0.11802,-0.02547,0.24317
0.4116,5779.228,0.0722,0.1077,0.1326
0.4337,5779.248,-0.09701,-0.06518,-0.02439
0.4515,5779.268,-0.15076,-0.38466,4e-05
0.4716,5779.288,-0.13244,-0.67848,0.10328
0.5007,5779.3079,-0.0011,-0.62045,0.23217
0.5234,5779.3279,0.14429,-0.36328,0.28104
0.5522,5779.3479,0.05754,-0.11954,0.17047
0.561,5779.3679,-0.17703,-0.10671,0.07945
0.5797,5779.3879,-0.19291,-0.14031,0.09656
0.5931,5779.4079,0.14001,0.26347,0.19002
0.6135,5779.4279,0.39657,0.64465,0.28043
0.6326,5779.4479,0.47232,0.51759,0.43314
0.6553,5779.4679,0.4656,0.40336,0.54982
0.6744,5779.4879,0.36664,0.3496,0.57364
0.6937,5779.5079,0.24569,0.23598,0.5938
0.7145,5779.5279,0.32816,0.29829,0.64145
0.7355,5779.5479,0.57556,0.79309,0.67627
0.7613,5779.5679,0.65191,1.46932,0.74285
0.7861,5779.5879,0.41307,2.03742,0.77156
0.8006,5779.6079,-0.20635,2.31109,0.79172
0.8194,5779.6279,-0.95955,2.00444,0.89801
0.8327,5779.6479,-1.40181,1.41006,1.20955
0.8541,5779.6679,-1.39815,0.83341,1.55592
0.8954,5779.6879,-0.9907,0.59517,1.69703
0.9019,5779.7079,-0.38045,0.56035,1.55592
0.9211,5779.7279,0.00806,0.12786,1.32379
0.9372,5779.7479,-0.03225,0.31295,1.05256
0.9619,5779.768,-0.35723,0.99101,0.72331
0.9774,5779.788,-0.84837,1.16999,0.42032
1.0066,5779.808,-1.25276,1.02339,0.15887
1.0229,5779.8281,-1.42442,0.18161,-0.21926
1.0378,5779.8481,-0.97238,-0.94421,-0.50392
1.055,5779.8681,-0.29676,-1.57585,-0.60105
1.0776,5779.8882,0.13207,-1.77804,-0.75682
1.0942,5779.9083,0.3642,-1.92098,-1.08058
1.117,5779.9283,0.68673,-1.98513,-1.34508
1.1358,5779.9484,1.09785,-1.74628,-1.5314
1.1554,5779.9685,1.25301,-1.45123,-1.70366
1.1737,5779.9885,1.19131,-1.38709,-1.7904
1.1957,5780.0086,1.14733,-1.20933,-1.83622
1.218,5780.0286,1.11678,-0.89901,-1.92602
1.243,5780.0487,1.00316,-0.81471,-1.98832
1.2647,5780.0688,1.07219,-0.84097,-1.97061
1.291,5780.0888,1.42894,-0.78844,-1.99077
1.2978,5780.1089,1.57127,-1.0169,-1.98527
1.3241,5780.1289,1.51934,-1.13541,-1.80568
1.3391,5780.149,1.36785,-0.82754,-1.6664
1.3534,5780.1691,1.04348,-0.80249,-1.64258
1.3731,5780.1891,0.42345,-1.00835,-1.60714
1.3947,5780.2092,-0.26255,-0.55142,-1.74092
1.4135,5780.2293,-0.57776,-0.8648,-1.60959
1.4339,5780.2493,-0.72559,-1.57585,-1.50024
1.4581,5780.2694,-1.11532,-1.45306,-1.20703
1.4793,5780.2894,-1.49528,0.38137,-0.57784
1.5168,5780.3095,-1.76711,0.28974,0.02264
1.5218,5780.3295,-1.75184,0.23659,0.76729
1.5408,5780.3495,-1.56369,0.49804,1.36166
1.5544,5780.3696,-1.39754,0.70024,1.50399
1.5782,5780.3896,-1.3615,0.64954,1.4539
1.5937,5780.4096,-1.21367,0.74117,1.47406
1.619,5780.4296,-0.70726,1.0973,1.39343
1.6356,5780.4497,-0.12022,1.15228,1.28652
1.6558,5780.4697,0.28173,0.97574,1.17718
1.6786,5780.4897,0.41918,0.90671,1.14419
1.7004,5780.5097,0.56884,0.88533,1.30668
1.7188,5780.5297,0.73805,0.83646,1.5382
1.7376,5780.5496,0.80524,0.79676,1.72085
1.7592,5780.5696,0.72705,0.6251,1.91388
1.7768,5780.5896,0.55723,0.6587,1.9261
1.8078,5780.6096,0.41734,0.73017,1.87784
1.8217,5780.6296,0.33671,0.93787,1.99207
1.8403,5780.6496,0.17666,1.07287,2.12646
1.8613,5780.6696,-0.00477,0.97574,2.07271
1.8752,5780.6896,-0.01576,0.96108,1.86257
1.8935,5780.7096,-0.01393,0.91587,1.66954
1.9137,5780.7296,-0.2876,1.07714,1.53087
1.9348,5780.7496,-0.70115,1.02888,1.52659
1.9551,5780.7696,-0.91618,1.01667,1.58646
1.9726,5780.7896,-0.80194,0.99956,1.40198
1.9942,5780.8096,-0.58997,0.60678,1.14969
2.0241,5780.8296,-0.30898,0.33861,1.04035
2.0425,5780.8496,-0.26866,0.37892,0.87358
2.0622,5780.8696,-0.48735,0.2653,0.63229
2.0831,5780.8896,-0.69443,0.13946,0.29631
2.0944,5780.9096,-0.80866,-0.05907,-0.06104
2.1141,5780.9296,-0.90457,-0.33945,-0.37747
2.1338,5780.9495,-0.91557,-0.68704,-0.68291
2.1525,5780.9695,-0.64312,-1.04256,-0.87716
2.1755,5780.9895,-0.33769,-1.37426,-0.86189
2.196,5781.0095,-0.15565,-1.66748,-0.83623
2.2139,5781.0295,0.0441,-1.84157,-0.90098
2.2357,5781.0495,0.37397,-1.81225,-1.08791
2.2531,5781.0695,0.68246,-1.58256,-1.34264
2.273,5781.0895,0.74416,-1.45734,-1.47886
2.2946,5781.1095,0.7356,-1.32783,-1.57843
2.3162,5781.1295,0.78569,-1.28446,-1.75192
2.3373,5781.1495,0.91581,-1.42374,-1.87654
2.3615,5781.1695,1.10518,-1.75239,-1.8069
2.3768,5781.1895,1.32509,-1.86784,-1.75497
2.395,5781.2095,1.35197,-1.47261,-2.04391
2.4151,5781.2295,1.18825,-1.05661,-2.55338
2.4416,5781.2495,1.02454,-0.92955,-2.98281
2.4578,5781.2695,0.86511,-0.88374,-3.3249
2.493,5781.2895,0.67391,-0.8874,-3.33956
2.5122,5781.3095,0.47232,-0.98331,-3.00969
2.5232,5781.3295,0.15589,-1.04867,-2.52589
2.5414,5781.3495,-0.16909,-0.88923,-2.1783
2.5549,5781.3695,-0.3157,-0.6455,-2.01215
2.5777,5781.3895,-0.46719,-0.49706,-1.90464
2.597,5781.4095,-0.69199,-0.25027,-1.79651
2.6143,5781.4296,-1.10799,0.04295,-1.58515
2.6345,5781.4496,-1.64188,0.45223,-1.42877
2.66,5781.4696,-2.17456,0.63427,-1.33164
2.6744,5781.4897,-2.4073,0.53042,-1.06347
2.6941,5781.5097,-2.2558,0.24026,-0.66458
2.72,5781.5297,-1.85874,0.26408,0.11244
2.7431,5781.5497,-1.64311,0.63854,0.79478
2.7648,5781.5698,-1.5643,1.12357,1.32256
2.7781,5781.5898,-1.51299,1.25674,1.70313
2.7969,5781.6098,-1.2326,1.40396,1.87601
2.8202,5781.6299,-0.65778,1.67823,1.81492
2.8479,5781.6499,-0.18864,1.89326,1.60967
2.8626,5781.6699,-0.0518,1.80224,1.52598
2.881,5781.6899,0.14673,1.45832,1.69519
2.9018,5781.71,0.58838,1.32454,1.88028
2.9242,5781.73,0.92253,1.35692,2.07943
2.9349,5781.75,0.96773,1.31538,2.32561
2.9555,5781.77,0.9995,1.22925,2.8424
2.9965,5781.7901,1.04714,0.93725,3.46365
3.0025,5781.8101,1.11373,1.04049,3.66951
3.0171,5781.8301,0.88527,1.32332,3.51252
3.0369,5781.8502,0.44056,1.58905,3.29138
3.0558,5781.8702,-0.04692,1.76375,3.09041
3.083,5781.8902,-0.58203,1.68434,2.82652
3.1007,5781.9102,-0.97238,2.06674,2.47099
3.1181,5781.9303,-1.37371,2.21763,2.04216
3.1365,5781.9503,-1.5808,2.08079,1.72451
3.1555,5781.9703,-1.44702,1.88226,1.40809
3.1834,5781.9903,-1.01758,1.47176,1.17046
3.1959,5782.0103,-0.61746,1.07714,1.06234
3.214,5782.0303,-0.36823,0.82669,0.80822
3.237,5782.0503,-0.35968,0.3777,0.38489
3.2595,5782.0703,-0.50995,-0.47446,-0.01828
3.282,5782.0903,-0.37678,-1.63999,-0.24064
3.301,5782.1103,0.24508,-2.62959,-0.1655
3.318,5782.1303,0.77592,-3.06269,-0.17833
3.3399,5782.1503,0.66413,-2.80491,-0.51553
3.3648,5782.1703,0.32449,-2.35653,-0.88083
3.382,5782.1902,0.16811,-2.22458,-0.96268
3.398,5782.2102,0.34526,-2.40845,-1.05737
3.4158,5782.2302,0.77959,-2.75237,-1.22352
3.4381,5782.2502,1.26889,-2.92769,-1.48192
3.4716,5782.2702,1.5395,-2.8324,-1.64563
3.4919,5782.2902,1.45765,-2.54834,-1.81973
3.5246,5782.3102,1.33242,-2.34187,-2.13432
3.5264,5782.3302,1.38556,-2.00589,-2.48801
3.5396,5782.3502,1.55966,-1.85807,-2.75618
3.5636,5782.3702,1.5731,-1.91304,-2.77206
3.5788,5782.3902,1.32753,-2.05354,-2.63462
3.5931,5782.4102,1.07647,-2.26368,-2.63034
3.6198,5782.4302,0.99156,-2.20504,-2.68715
3.6376,5782.4502,0.67696,-2.1354,-2.58758
3.6525,5782.4702,0.15834,-1.76033,-2.73541
3.6772,5782.4902,-0.26927,-1.06638,-3.10193
3.6961,5782.5102,-0.70115,-0.86174,-3.26442
3.7132,5782.5302,-1.23627,-0.62045,-3.10377
3.7354,5782.5502,-1.68281,-0.54104,-2.67555
3.7558,5782.5702,-1.88684,-0.49278,-2.13005
3.7762,5782.5901,-2.07132,-0.35717,-1.48864
3.7979,5782.6101,-2.27413,-0.45369,-0.84906
3.8195,5782.6301,-2.51603,-0.38466,-0.28523
3.8383,5782.6501,-2.6883,-0.03463,0.3629
3.8606,5782.6701,-2.55146,0.57012,0.93283
3.8851,5782.6901,-2.33033,1.15167,1.62678
3.8981,5782.7101,-1.87829,1.29705,2.27735
3.9213,5782.7301,-0.93939,1.33248,2.48321
3.9378,5782.7501,0.06671,1.50597,2.303
3.9544,5782.7701,0.45583,1.66785,2.10386
3.9762,5782.7901,0.21942,1.92319,2.09042
3.9946,5782.8101,-0.10983,2.1877,2.14296
4.0152,5782.8301,-0.18131,1.78697,2.32927
4.035,5782.8501,0.26768,1.41129,2.49176
4.0534,5782.8701,0.84984,0.99895,2.76421
