AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,yaw_deg_ori,yaw_deg_ori_cal,yaw_deg,yaw_error,Quat_w,Quat_x,Quat_y,Quat_z,q_w,q_x,q_y,q_z,quat_angle_error_deg
0.063,5778.8081,-0.17431844822020712,0.2637495791552986,-0.09788366875405252,-0.004257304941919657,0.03259480736943892,-0.1385580882016065,0.10523519260529088,11.144088141515299,-17.247767151222597,0.347331,0.20219698917548898,0.0,0.34733099999999695,0.8646099253182211,0.46919701,0.15716401,0.087197,1.0,0.0,0.0,0.0,60.323612738643455
0.0678,5778.8281,-0.21729303772631212,0.2518463830298696,-0.06603327862259434,-0.26921877529694915,-0.13808420287693257,-0.19942718194446019,0.13361450914961637,11.158994093639915,-17.259735814044557,0.264946,0.1543829268795629,0.0,0.264946000000009,0.8651842181117845,0.46878499,0.15592,0.085941,1.0,0.0,0.0,0.0,60.19250557719351
0.0707,5778.8481,-0.2767019309096728,0.25791755209725586,-0.016315318777142096,-0.46785582923312674,-0.26163737347568844,-0.24265157584632596,0.3041317205090788,11.025482859146983,-17.362509470632766,0.590392,0.3483118667881752,0.0,0.5903920000000085,0.8684874650521675,0.46439701,0.15151601,0.084308,1.0,0.0,0.0,0.0,59.43330780185986
0.072,5778.8681,-0.29265969690633675,0.22967149478173443,0.06128378299400872,-0.562635756634917,-0.3179746518524944,-0.2654612596627316,0.5138615181531442,10.820767018637824,-17.502266382546626,0.926483,0.5567625824166583,0.0,0.9264829999999904,0.8730334397129013,0.45794699,0.146222,0.081953,1.0,0.0,0.0,0.0,58.37383714153054
0.0745,5778.888,-0.2467821368501803,0.15434724416102874,0.1585798161379124,-0.5566735636123027,-0.32099670696171395,-0.28479615241069806,0.6260309546002458,10.6609338965004,-17.61064288347292,1.185488,0.7247454015657111,0.0,1.1854879999999923,0.8767816136276124,0.45202801,0.142966,0.080532,1.0,0.0,0.0,0.0,57.48692919966033
0.0955,5778.908,-0.1957719222074423,0.07565297941022298,0.24700421466208233,-0.48731150186876,-0.30222927589968684,-0.3251985066437467,0.6629082596214867,10.59128557196215,-17.664140217636163,1.564719,0.968501536887164,0.0,1.5647189999999966,0.8792962083911201,0.447649,0.141068,0.080922,1.0,0.0,0.0,0.0,56.88483666947601
0.1125,5778.928,-0.1804917339978789,0.030425308243075655,0.2946979562473402,-0.40387126391822603,-0.29398807747725825,-0.39374954951854424,0.6943119829574123,10.612116261007742,-17.66362245008586,1.802117,1.1220676947183836,0.0,1.8021170000000097,0.880827209785631,0.44531301,0.138965,0.080799,1.0,0.0,0.0,0.0,56.515378426442055
0.1578,5778.948,-0.21654709661950572,0.05406738566020497,0.286746916480098,-0.34275217648878153,-0.3262191478855719,-0.4769122114415736,0.7724090055707064,10.658136508578739,-17.65161208947758,1.608361,1.0047027986422514,0.0,1.6083610000000022,0.8823962731979663,0.44378299,0.135648,0.077673,1.0,0.0,0.0,0.0,56.13442130737156
0.1582,5778.968,-0.31370509615163167,0.14615830862426815,0.23128861768229036,-0.3191429333172255,-0.41840705373552645,-0.556883070276791,0.8943829148902487,10.696756902459041,-17.65574529210679,1.380996,0.8663762821255298,0.0,1.3809960000000103,0.884486258267374,0.44170901,0.131005,0.073586,1.0,0.0,0.0,0.0,55.6232675472962
0.1706,5778.988,-0.37077474887100587,0.26660497176174136,0.14716699488708684,-0.3396539179098229,-0.5628604233535034,-0.6117334461189979,0.8349273217401987,10.749837750162222,-17.67926732119693,1.242707,0.7858774767646376,0.0,1.2427069999999958,0.8861817710057682,0.43889499,0.13000099,0.071783,1.0,0.0,0.0,0.0,55.205393799791295
0.192,5779.008,-0.4569670133043071,0.35053425008114747,0.04010414391882833,-0.4060966266180457,-0.7077115137842982,-0.6156881268719312,0.9475160901910392,10.852477129947431,-17.679254116431075,1.464447,0.928887952458746,0.0,1.464447000000007,0.8881745849798113,0.43689701,0.12408,0.069793,1.0,0.0,0.0,0.0,54.71049037267369
