AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:85,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:27,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:85,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:27
1.4876,-87.0,,,,,,,,,,,,,,,-85.0,,,,,-76.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
3.4936,,,,,,,,,,-92.0,,,,,,-89.0,,,,,-71.0,,,,,,,,,,,,,,,-91.0,,,,,,,,,,,2437.0,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
5.4902,,,,,,,,,,,,,,,,-83.0,,,,,-65.0,,,,,,,,,,-93.0,-92.0,-91.0,,,-87.0,,,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,2412.0,2412.0,2412.0,,,2437.0,
7.4666,-91.0,,,,,,,,,,,,,,,-89.0,,,,,-69.0,,,,,,,,,,,,-93.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,2412.0,,,,
9.469,-83.0,,,,,,,,,,,,,,,-85.0,,,,,-69.0,,,,,,,,,,,,-93.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,2412.0,,,,
11.5126,-81.0,,,,,,,,,-95.0,,,,,,-88.0,,,,,-67.0,,,,,,,,,,,,,,,-87.0,,2437.0,,,,,,,,,2437.0,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
13.5716,-84.0,,,,,,,,,,,,,,,-86.0,,,,,-75.0,,,,,,,,,,,,,,,-92.0,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
15.5014,-91.0,,,,,,,,,,,,,,,-83.0,,,,,-66.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
17.4953,-82.0,-92.0,,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,-94.0,,,,,2437.0,5200.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,2412.0,,,,
19.4812,-86.0,,,,,,,,,,,,,,,-79.0,,,,,-64.0,-93.0,,,,,,,,,-93.0,-91.0,-94.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,2462.0,,,,,,,,,2412.0,2412.0,2412.0,,,,
21.4842,-92.0,,,,,,,,,,,,,,,-81.0,,,,,-69.0,,,,,,,,,,,,,,,-96.0,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
23.495,,,,,,,,,,,,,,,,-81.0,,,,,-77.0,,,,,,,,,,-92.0,-92.0,-94.0,,,-94.0,,,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,2412.0,2412.0,2412.0,,,2437.0,
25.491,-88.0,,,,,,,,,-91.0,,,,,,-88.0,,,,,-72.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,2437.0,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
27.4824,-83.0,,,,,,,,,,,,,,,-86.0,,,,,-68.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
29.4816,-87.0,,,,,,,,,,,,,,,-88.0,,,,,-68.0,,,,,,,,,,-91.0,-92.0,-91.0,,,-92.0,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,2412.0,2412.0,2412.0,,,2437.0,
31.4883,-89.0,,,,,,,,,,,,,,,-86.0,,,,,-67.0,,,,,,,,,,-92.0,,,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,2412.0,,,,,,
33.4796,,,,,,,,,,,,,,,,-80.0,,,,,-67.0,,,,,,,,,,,-95.0,,,,-91.0,,,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,2412.0,,,,2437.0,
35.4751,-88.0,,,,,,,,,,,,,,,-81.0,,,,,-64.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
37.5014,-86.0,,,,,,,,,,,,,,,-83.0,,,,,-65.0,,,,,,,,,,,-92.0,-95.0,,,-88.0,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,2412.0,2412.0,,,2437.0,
39.4904,-87.0,,,,,,,,,,,,,,,-77.0,,,,,-69.0,,,,,,,,,,,,,,,-91.0,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
41.4831,-87.0,,,,,,,,,,,,,,,-78.0,,,,,-69.0,,,,,,,,,,,,,,,-90.0,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
43.4807,-86.0,,,,,,,,,,,,,,,-80.0,,,,,-72.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
45.4794,-89.0,,,,,,,,,,,,,,,-78.0,,,,,-72.0,,,,,,,,,,,,,,,-93.0,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
47.4874,-90.0,-94.0,,,,,,,,,,,,,,-63.0,,,,,-71.0,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
49.5134,-90.0,,,,,,,,,,,,,,,-79.0,,,,,-71.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,,
51.4749,-86.0,-95.0,,,,,,,,,,,,,,-79.0,,,,,-73.0,,,,,,,,,,,,,,,-91.0,,2437.0,5200.0,,,,,,,,,,,,,,2437.0,,,,,2437.0,,,,,,,,,,,,,,,2437.0,
