AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,yaw_deq_ori,yaw_deg,yaw_error,Quat_w,Quat_x,Quat_y,Quat_z,q_w,q_x,q_y,q_z,quat_angle_error_deg
0.0567,67837.4199,5.755452178107316,1.8729906045239355,3.8623637859602873,-0.8267945705494032,-0.6960682799190044,0.04775196381095286,-13.439874732559277,-22.019529104519773,-23.39888639506363,-80.225815,0.0,80.225815,0.7108428027428629,0.42458308,-0.20798437,-0.52074391,1.0,0.0,0.0,0.0,89.39294097996898
0.06,67837.4399,5.969127995843803,1.6392167090839775,5.35698424250653,-0.6573007932566667,-0.5962524868024318,-0.005719416770958539,-13.753545374916486,-21.785199380020067,-23.61380508414983,-79.848419,0.0,79.848419,0.7125506237580367,0.41574448,-0.20905536,-0.52509427,1.0,0.0,0.0,0.0,89.11435631109241
0.0623,67837.4598,6.094119867687192,1.4581539924042684,6.523103398356542,-0.4534519424001889,-0.5059588938106864,-0.05259773905473685,-14.068785199024763,-21.537033977744866,-23.84017019200566,-79.459503,0.0,79.459503,0.7147981231758758,0.40510255,-0.20930602,-0.53023255,1.0,0.0,0.0,0.0,88.74668586552536
0.076,67837.4799,6.0945629786075735,1.3665384548414252,7.110257924354817,-0.2158224268346436,-0.44303728956613203,-0.08530694957176856,-14.3868534964599,-21.270378891178748,-24.052249727013294,-79.312576,0.0,79.312576,0.7164260920267552,0.39744085,-0.20820908,-0.53425032,1.0,0.0,0.0,0.0,88.47961038144517
0.0966,67837.4999,6.009846791682493,1.3686741413425878,7.056666211289953,0.012143803176558308,-0.42417054751831007,-0.0981705030824956,-14.705667556732068,-21.006542840137698,-24.19225267084133,-79.509979,0.0,79.509979,0.7161385448440845,0.39391968,-0.20792295,-0.53734618,1.0,0.0,0.0,0.0,88.5268301867834
0.1103,67837.5198,5.921822820399944,1.4371158499248224,6.531627430896361,0.16934241689539428,-0.44848237469175334,-0.09126012537467941,-15.020767918748014,-20.790989665875564,-24.21143347252454,-79.901573,0.0,79.901573,0.7139056654269437,0.39451295,-0.21004502,-0.5390541,1.0,0.0,0.0,0.0,88.89282776718116
0.1364,67837.5397,5.8958651116182095,1.5183544590820688,5.846121244621111,0.2141453265288593,-0.4927539642407578,-0.0701005061537344,-15.32900714626648,-20.664432967161176,-24.103931017827858,-80.240891,0.0,80.240891,0.7107371883032325,0.39603913,-0.2150263,-0.54015678,1.0,0.0,0.0,0.0,89.41014662353594
0.1486,67837.5599,5.941226452172714,1.5513011705594018,5.285533229250786,0.14632305361222792,-0.5245833134524664,-0.03924334293702183,-15.628148309418924,-20.634432006526435,-23.90919359386377,-80.403664,0.0,80.403664,0.7078081765687531,0.39596891,-0.22133972,-0.54150248,1.0,0.0,0.0,0.0,89.88627756418323
0.1671,67837.5799,6.00899442955352,1.51941495390391,4.971724231956885,0.0030012410340369477,-0.5296543321595967,0.003122014606481931,-15.914286405612955,-20.671913291045204,-23.691746090213883,-80.570679,0.0,80.570679,0.7047582240898713,0.39328671,-0.22833064,-0.54452413,1.0,0.0,0.0,0.0,90.37997069941495
0.1877,67837.5999,6.02236928339292,1.4940386569406394,4.83524420677324,-0.16462194311237915,-0.5388509550746505,0.06241519086026118,-16.181021447434986,-20.73026864716551,-23.510983216900748,-80.610153,0.0,80.610153,0.7027628895252201,0.38660854,-0.23445114,-0.54926389,1.0,0.0,0.0,0.0,90.70181305302415
0.2087,67837.6198,5.9335552535498355,1.575038637466549,4.7330399338960945,-0.3229600346647129,-0.6170100905764484,0.14229424397977225,-16.41982210755555,-20.76864813482146,-23.391452162902283,-80.295532,0.0,80.295532,0.7053678245474093,0.3817549,-0.23178354,-0.55045056,1.0,0.0,0.0,0.0,90.28146459696885
0.2337,67837.6399,5.779321237982458,1.7875879446599265,4.646545593398051,-0.4769548555104745,-0.796307636267568,0.24408385694291473,-16.62995160557614,-20.7598205317353,-23.31685432252014,-79.766884,0.0,79.766884,0.7093631931776074,0.37900805,-0.22712797,-0.54915357,1.0,0.0,0.0,0.0,89.63374685913823
0.2479,67837.6599,5.679381915926909,2.0898612645884986,4.7869035751101485,-0.6517350331661604,-1.0174651212104544,0.36293343840451314,-16.83263288024037,-20.67522402014651,-23.252563539370957,-79.792618,0.0,79.792618,0.7086014515858643,0.37688494,-0.2293148,-0.55068725,1.0,0.0,0.0,0.0,89.75752156751183
0.2726,67837.6799,5.7419639428120135,2.455540888302198,5.479676747898252,-0.8368124261970669,-1.1536674144715338,0.4756524121791571,-17.071799730312627,-20.469862094287926,-23.17241775401197,-80.001854,0.0,80.001854,0.7041148549338533,0.37289128,-0.2394779,-0.55481952,1.0,0.0,0.0,0.0,90.48384237417224
0.2999,67837.6999,5.922938968614264,2.8834731869685575,6.8943483174689035,-0.9455297368934872,-1.1047038549581807,0.5401291115990046,-17.397624720330832,-20.097884414096132,-23.07434871907053,-79.427834,0.0,79.427834,0.7017808346786024,0.35943636,-0.25292659,-0.56065792,1.0,0.0,0.0,0.0,90.85988838607264
0.3088,67837.7199,5.991284300644223,3.3288966602649728,8.85058810701764,-0.8426557777614384,-0.8719176197955952,0.5248979042378127,-17.837771263573504,-19.552187110498608,-22.978826450958955,-77.600098,0.0,77.600098,0.707881791166032,0.34169987,-0.25858483,-0.56149662,1.0,0.0,0.0,0.0,89.8743353275742
0.3308,67837.7399,5.711377472440909,3.666515408902735,10.854185509705404,-0.43225289952803814,-0.5361598855661343,0.44616837539491266,-18.373204090979037,-18.894929014991654,-22.904006696982368,-76.085564,0.0,76.085564,0.7184069113308147,0.32624355,-0.25161546,-0.56048757,1.0,0.0,0.0,0.0,88.15378351987411
0.3484,67837.7599,5.07873339018684,3.7422775872964733,12.311689991386032,0.2618253776885031,-0.1783852681727571,0.3677760853960508,-18.938960155163873,-18.257023358236637,-22.839971955311896,-75.732422,0.0,75.732422,0.7225418892168248,0.31537482,-0.24797657,-0.56300938,1.0,0.0,0.0,0.0,87.47051148754495
0.3679,67837.7799,4.343427482585116,3.469530430668562,12.795118056521279,1.0886282801879428,0.15439851761966053,0.35970543521418075,-19.453830495354154,-17.800978094169967,-22.754203792426964,-75.670403,0.0,75.670403,0.7218462935965229,0.3165766,-0.24986589,-0.56239152,1.0,0.0,0.0,0.0,87.58575003047507
0.388,67837.7999,3.836371803954258,2.885924795385912,12.22504801593792,1.8433357810959612,0.43451037287605715,0.4528865457474706,-19.8600154484306,-17.658357450937153,-22.611034748858845,-75.777145,0.0,75.777145,0.716038836430332,0.33169127,-0.25828925,-0.55727547,1.0,0.0,0.0,0.0,88.54319922738276
