AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:03:25
1.0459,,,-47.0,,-55.0,-62.0,-53.0,,,,,,-56.0,-51.0,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,,
5.0363,,,-46.0,,-56.0,,-55.0,,,,-60.0,,-56.0,-57.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5200.0,,2462.0,2462.0,,,,,,,,,
9.0432,,,-50.0,,-60.0,,-58.0,,,,-56.0,-57.0,,-53.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5200.0,5200.0,,2462.0,,,,,,,,,
13.0509,,,-46.0,,-54.0,,-54.0,,,,,,-54.0,-53.0,,,,,,,,,-62.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,2437.0
17.0903,-60.0,,-45.0,,-53.0,-60.0,-50.0,,,,,,-52.0,,,,,,,,,,,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,,,,,,,,,,
21.0243,,,-47.0,,-57.0,,-54.0,,,,,,-57.0,-62.0,,,,,,,,,-60.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,2437.0
25.0436,,,-47.0,,-57.0,,-55.0,,,,,-61.0,-57.0,-57.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,,5200.0,2462.0,2462.0,,,,,,,,,
29.0298,,,-47.0,,-49.0,-61.0,-58.0,,,,,,-50.0,-56.0,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,,
33.0814,,,-48.0,,-53.0,-61.0,-55.0,,,,,,-53.0,-52.0,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,,
37.0293,,,-47.0,,-53.0,,-55.0,,,,,,-53.0,-52.0,,,,,,,,,-65.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,2437.0
41.0596,,,-46.0,,-56.0,,-56.0,,,,,,-56.0,-52.0,,,,,,,,,-62.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,2437.0
45.049,,,-46.0,,-52.0,,-59.0,,,,,,-54.0,-52.0,,,,,,,,,-62.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,2437.0
49.0474,,,-46.0,,-52.0,,-59.0,,,,,,-53.0,-55.0,,,,,,,,,-62.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,2437.0
53.0141,-63.0,,-46.0,,-52.0,,-56.0,,,,,,-53.0,-57.0,,,,,,,,,,2437.0,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,
57.0295,,,-45.0,,-52.0,,-60.0,,,,,,-53.0,-56.0,,,,,,,,,-62.0,,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,2437.0
61.0571,,,-45.0,,-51.0,-61.0,-56.0,,,,,,-55.0,-56.0,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,,,,2462.0,2462.0,,,,,,,,,
65.0595,-56.0,,-53.0,,-59.0,,-57.0,,,,,,-59.0,-56.0,,,,,,,,,,2437.0,,2452.0,,2462.0,,2427.0,,,,,,2462.0,2462.0,,,,,,,,,
69.0659,,,-57.0,,-61.0,,-58.0,-60.0,,,,,-63.0,-48.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,,,,,2462.0,2462.0,,,,,,,,,
73.0702,,,-67.0,,-68.0,,-64.0,-60.0,,,,,-67.0,-53.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,,,,,2462.0,2462.0,,,,,,,,,
77.0555,,,-64.0,,-68.0,,-70.0,-56.0,-69.0,,,,,-65.0,,,,,,,,,,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,,,,,2462.0,,,,,,,,,
