AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:03:25
2.2988,-65.0,,-44.0,,-62.0,-63.0,-55.0,,,,-64.0,-64.0,-62.0,-51.0,,,,,,,,,,,-64.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
6.3091,-67.0,,-44.0,,-55.0,-66.0,-59.0,,,,-64.0,-64.0,-55.0,-53.0,,,,,,,,,,,-67.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
10.3089,-65.0,,-46.0,,-56.0,-62.0,-56.0,,,,-63.0,-63.0,-56.0,-55.0,,,,,,,,,,,-63.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
14.289,-67.0,,-51.0,,-60.0,-60.0,-58.0,,,,-61.0,-61.0,-60.0,-51.0,,,,,,,,,,,-63.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
18.293,-65.0,,-46.0,,-59.0,-61.0,-54.0,-67.0,,,-57.0,-57.0,-60.0,-52.0,,,,,,,,,,,,2437.0,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,
22.3515,,,-49.0,,-64.0,-65.0,-56.0,-67.0,,-70.0,-61.0,-61.0,-64.0,-58.0,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,
26.3181,-68.0,,-45.0,,-54.0,-66.0,-60.0,,,,-62.0,-62.0,-54.0,-51.0,,,,,,,,,,,-64.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
30.326,-64.0,,-49.0,,-57.0,-64.0,-56.0,,,,-62.0,-62.0,-58.0,-51.0,,,,,,,,,,,-68.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
34.3237,-66.0,,-48.0,,-53.0,-64.0,-53.0,,,,-65.0,-65.0,-54.0,-51.0,,,,,,,,,,,-63.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
38.3003,-66.0,,-52.0,,-54.0,-67.0,-53.0,-62.0,,,-68.0,,-54.0,-49.0,,,,,,,,,,,-62.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5200.0,,2462.0,2462.0,,,,,,,,,,,2437.0
42.2901,,,-51.0,,-54.0,-61.0,-53.0,-64.0,,,-66.0,-66.0,-55.0,-50.0,,,,,,,,,,,-64.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
46.3057,,,-51.0,,-55.0,-61.0,-53.0,-64.0,,,-62.0,-63.0,-56.0,-50.0,,,,,,,,,,,-60.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
50.3177,-65.0,,-51.0,,-55.0,-62.0,-55.0,,,,-63.0,-63.0,-55.0,-59.0,,,,,,,,,,,-67.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
54.3123,-68.0,,-48.0,,-55.0,-64.0,-57.0,,,,-65.0,-65.0,-57.0,-53.0,,,,,,,,,,,-63.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
58.2927,-68.0,,-45.0,,-52.0,-62.0,-57.0,,,,-67.0,-67.0,-55.0,-52.0,,,,,,,,,,,-65.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
62.3234,-65.0,,-45.0,,-52.0,-61.0,-57.0,,,,-69.0,-69.0,-55.0,-52.0,,,,,,,,,,,-68.0,2437.0,,2452.0,,2462.0,2412.0,2427.0,,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
66.307,,,-45.0,,-50.0,-62.0,-57.0,-71.0,,,-67.0,-66.0,-54.0,-52.0,,,,,,,,,,,-65.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,2437.0
