AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:31,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:31,wifi_freq_20:23:00:00:03:25
0.2007,-66.0,,-57.0,,-64.0,,-69.0,,,,-61.0,-61.0,,,,,,,,,,,,,,,,2437.0,,2452.0,,2462.0,,2427.0,,,,5220.0,5220.0,,,,,,,,,,,,,,,
2.1704,,,-53.0,,-68.0,,-64.0,,,,-61.0,-62.0,,-65.0,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5220.0,5220.0,,2462.0,,,,,,,,,,,,,
4.1547,,,-55.0,,-64.0,,-64.0,,,,-63.0,-63.0,,-63.0,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5220.0,5220.0,,2462.0,,,,,,,,,,,,,
6.17,,,-56.0,,,,-59.0,,,,-63.0,-63.0,,-63.0,,,,,,,,,,,,,-67.0,,,2452.0,,,,2427.0,,,,5220.0,5220.0,,2462.0,,,,,,,,,,,,,2437.0
8.1733,,,-53.0,,-62.0,,-63.0,,,,-66.0,,-63.0,-65.0,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5220.0,,2462.0,2462.0,,,,,,,,,,,,,
10.1975,,,-49.0,,-57.0,,,,,,-63.0,-63.0,-64.0,-66.0,,,,,,,,,,,,,,,,2452.0,,2462.0,,,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,
12.1815,,,-55.0,,-65.0,,-62.0,,,,-60.0,-60.0,,-61.0,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5220.0,5220.0,,2462.0,,,,,,,,,,,,,
14.1943,,,-48.0,,-62.0,,,,,,-58.0,-58.0,-62.0,-62.0,,,,,,,,,,,,,,,,2452.0,,2462.0,,,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,
16.1559,,,-62.0,,,,-62.0,-70.0,,,-66.0,-66.0,,-62.0,,,,,,,,,,,,,,,,2452.0,,,,2427.0,2437.0,,,5220.0,5220.0,,2462.0,,,,,,,,,,,,,
18.1663,,,-63.0,,,,-64.0,,,-64.0,-63.0,-63.0,,-67.0,,,,,,,,,,,,,,,,2452.0,,,,2427.0,,,2437.0,5220.0,5220.0,,2462.0,,,,,,,,,,,,,
20.1748,,,-57.0,,-60.0,,-66.0,,,,-60.0,-60.0,-65.0,,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5220.0,5220.0,2462.0,,,,,,,,,,,,,,
22.1678,,,-50.0,,-58.0,,-66.0,,,,-60.0,-60.0,-63.0,,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5220.0,5220.0,2462.0,,,,,,,,,,,,,,
24.1918,,,-53.0,,-67.0,,-68.0,,,,-66.0,-66.0,,-66.0,,,,,,,,,,,,,,,,2452.0,,2462.0,,2427.0,,,,5220.0,5220.0,,2462.0,,,,,,,,,,,,,
