AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:14,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:17,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:22,wifi_rssi_20:23:00:00:01:23,wifi_rssi_20:23:00:00:01:24,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:28,wifi_rssi_20:23:00:00:01:29,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:52,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:15,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:13,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:30,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:14,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:17,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:22,wifi_freq_20:23:00:00:01:23,wifi_freq_20:23:00:00:01:24,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:29,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:52,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:15,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:13,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:30
1.1323,-83.0,,,,,-86.0,-53.0,,-91.0,,,,,-58.0,-71.0,,-67.0,,-70.0,-81.0,-74.0,-61.0,-62.0,-62.0,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.0,,2437.0,,,,,2417.0,2452.0,,2412.0,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,
3.0909,-77.0,,,,,-86.0,-57.0,,,,,,,-60.0,-74.0,,-61.0,,-72.0,-78.0,-80.0,-64.0,-63.0,-62.0,-65.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,,,,,,,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,-69.0,,2437.0,,,,,2417.0,2452.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,
5.0809,-63.0,,,,-81.0,-90.0,-61.0,,,,,,,-62.0,-67.0,,-65.0,,-72.0,-82.0,-75.0,-62.0,-61.0,-63.0,-64.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,
7.0933,-76.0,,,,-79.0,,-54.0,,,,,,,-61.0,-66.0,,-68.0,,-71.0,-82.0,-71.0,-63.0,-63.0,-61.0,-61.0,,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,,,-91.0,,-91.0,,,,-88.0,,,,,,,,,,,,,,,,,,-92.0,-91.0,,,,,-80.0,,2437.0,,,,5200.0,,2452.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,5500.0,,5500.0,,,,5500.0,,,,,,,,,,,,,,,,,,2462.0,2462.0,,,,,2437.0,
9.0838,-68.0,,,,-80.0,-87.0,-57.0,,,,,,,-66.0,-71.0,,-64.0,,-71.0,-77.0,-78.0,-63.0,-63.0,-60.0,-66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,-88.0,-91.0,,,,,,,,,,,,,-92.0,,,,,,,,,,,,,,,-82.0,,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,5500.0,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,2437.0,
11.0948,-66.0,,,,-81.0,-92.0,-56.0,,,,,,,-66.0,-72.0,,-70.0,,-72.0,-82.0,-76.0,-65.0,-65.0,-67.0,-61.0,-91.0,,,,,,,,,,,-95.0,,,,,,,,,,,,,-90.0,-89.0,,,-90.0,,-89.0,,,,-90.0,,,,,,,,,,,,,,,,,,,,,,,,-73.0,,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,2462.0,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,,5500.0,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,
13.2394,-71.0,,,,-82.0,-92.0,-51.0,,,,,,,-63.0,-71.0,,-61.0,,-70.0,-88.0,-76.0,-63.0,-63.0,-62.0,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,-88.0,,,-88.0,-88.0,-89.0,,,,-91.0,,,,,,,,,,,,,-94.0,,,,,,,,,,,-76.0,,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,5500.0,5500.0,,,,5500.0,,,,,,,,,,,,,2437.0,,,,,,,,,,,2437.0,
15.1093,-69.0,,,,-80.0,,-55.0,,-92.0,,,,,-62.0,-69.0,,-60.0,,-70.0,-85.0,-70.0,-63.0,-63.0,-64.0,-70.0,-93.0,,,,,,,,,,,,,,,,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,2437.0,,,,5200.0,,2452.0,,2412.0,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,
17.0753,-77.0,,,,-79.0,-90.0,-54.0,,,,,,,-67.0,-69.0,,-69.0,,-71.0,-88.0,-75.0,-61.0,-61.0,-67.0,-61.0,,,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.0,,2437.0,,,,5200.0,2417.0,2452.0,,,,,,,2462.0,2412.0,,2427.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,
19.1041,-63.0,,,,-80.0,,-56.0,,-93.0,,,,,-69.0,-71.0,,-68.0,,-64.0,,-80.0,-66.0,-66.0,-69.0,-62.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,2437.0,,,,5200.0,,2452.0,,2412.0,,,,,2462.0,2412.0,,2427.0,,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,
