AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:28,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:03:25
1.1323,,,,-53.0,,-58.0,-71.0,-67.0,-70.0,,-74.0,-61.0,-62.0,-62.0,-63.0,,,,,,,,,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
3.0909,,,,-57.0,,-60.0,-74.0,-61.0,-72.0,,,-64.0,-63.0,-62.0,-65.0,,,,,,,,,,,,,,,,,,-69.0,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
5.0809,-63.0,,,-61.0,,-62.0,-67.0,-65.0,,,,-62.0,-61.0,-63.0,-64.0,,,,,,,,,,,,,,,,,,-70.0,2437.0,,,2452.0,,2462.0,2412.0,2427.0,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
7.0933,,,,-54.0,,-61.0,-66.0,-68.0,,,-71.0,-63.0,-63.0,-61.0,-61.0,,,,,,,-70.0,,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,2437.0,,,,,,,,,,,
9.0838,-68.0,,,-57.0,,-66.0,-71.0,-64.0,-71.0,,,-63.0,-63.0,-60.0,-66.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
11.0948,-66.0,,,-56.0,,-66.0,-72.0,-70.0,-72.0,,,-65.0,-65.0,-67.0,-61.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
13.2394,-71.0,,,-51.0,,-63.0,-71.0,-61.0,-70.0,,,-63.0,-63.0,-62.0,-68.0,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
15.1093,-69.0,,,-55.0,,-62.0,-69.0,-60.0,-70.0,,-70.0,-63.0,-63.0,-64.0,,,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,,,,
17.0753,,,,-54.0,,-67.0,-69.0,-69.0,-71.0,,-75.0,-61.0,-61.0,-67.0,-61.0,,,,,,,,,,,,,,,,,,,,,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
19.1041,-63.0,,,-56.0,,-69.0,,-68.0,-64.0,,,-66.0,-66.0,-69.0,-62.0,,,,,,,,,,,,,,,,,,-70.0,2437.0,,,2452.0,,2462.0,,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
