AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,PitchX,RollY,YawZ,Quat_w,Quat_x,Quat_y,Quat_z
0.0697,68102.126,-2.7246,9.14346,4.4197,-0.81856,0.12217,0.02688,17.16,-22.08,2.64,49.65501,11.024087,128.037613,0.3594926931674099,0.10472547,0.41389796,0.8297506
0.074,68102.146,-1.16598,9.46667,7.18261,-0.79229,-0.31826,-0.09896,17.16,-22.2,2.46,48.80735,10.935333,128.265823,0.3600747257604382,0.10135925,0.40793282,0.83286452
0.0783,68102.166,-0.22027,8.80827,7.44357,-0.27978,-0.65179,-0.52718,17.16,-21.96,2.52,48.096523,10.583979,128.143921,0.36378679058062297,0.10167119,0.40175304,0.83421618
0.082,68102.186,-1.92494,7.55371,6.25365,-0.25901,-0.70066,-0.63591,17.58,-21.96,2.4,47.780273,10.513783,127.213013,0.37150035496159556,0.10423242,0.39848295,0.83206636
0.0854,68102.206,-3.43329,7.5992,6.7708,-0.54489,-0.47037,-0.44654,18.18,-21.9,1.56,47.353909,10.589233,126.219788,0.37939235565169616,0.10547967,0.39485282,0.83007634
0.0891,68102.226,-2.55701,8.36534,9.74679,-0.57727,-0.27122,-0.35552,17.64,-21.96,1.56,46.636066,10.389956,125.768822,0.384938289530189,0.10566456,0.38877925,0.83036631
0.1087,68102.246,-2.31759,6.41167,8.99262,-0.0171,0.26756,-0.45265,17.64,-21.72,1.68,45.997414,10.865653,125.177071,0.38904129133047405,0.10169847,0.38540781,0.83052099
0.1312,68102.266,-3.20584,5.89692,6.67982,0.23091,0.18692,-0.03482,16.98,-21.42,1.86,45.895519,11.752154,124.49173,0.39124789391590337,0.097181,0.3871251,0.8292256
0.1597,68102.286,-2.93769,7.13472,4.24253,0.135,-0.44166,0.29505,16.56,-20.88,2.34,46.144779,12.160671,124.377029,0.390113283501071,0.09562151,0.39014179,0.82852733
0.1953,68102.306,-1.42455,8.28873,6.34463,0.10934,-0.95478,0.30116,17.16,-21.06,2.16,46.377007,11.317108,124.80864,0.38932426159987205,0.10118745,0.38924706,0.82865822
0.1993,68102.326,-0.77812,8.70771,7.86974,0.06231,-0.89492,0.02566,17.04,-21.36,1.74,46.572418,9.978036,125.199959,0.39058896785347585,0.1103197,0.38640651,0.82822692
0.209,68102.346,-1.79565,7.20894,8.30788,-0.13561,0.36408,-0.20159,17.46,-21.78,1.14,46.514072,9.421393,125.145103,0.39298392730992016,0.11429626,0.38404366,0.82765359
0.2331,68102.366,-3.98156,6.58645,6.82347,-0.10812,0.3146,-0.02688,17.46,-22.14,1.02,46.262432,10.296711,124.784576,0.39320330007666204,0.10818762,0.38494715,0.82795066
0.2485,68102.386,-4.43406,6.32069,6.95755,0.16799,-0.13256,0.35919,17.22,-21.96,1.02,46.097336,10.99466,124.591789,0.3926187774526508,0.10313311,0.38601804,0.82837439
0.2695,68102.406,-3.66552,6.359,8.51618,0.43616,-0.40867,0.65424,16.92,-21.9,0.96,46.231056,10.829541,124.910561,0.3905687441296517,0.10378651,0.38666821,0.82895845
0.2889,68102.426,-3.80918,6.14831,10.71166,0.75564,0.05192,0.87598,16.32,-21.72,1.44,46.551292,10.234952,125.578407,0.38703002819331594,0.10710001,0.38749027,0.82981241
0.3096,68102.446,-3.36146,5.82749,8.40125,1.1808,0.86132,1.18997,15.9,-21.72,1.5,47.235859,10.267791,126.583229,0.37812534975464196,0.10610281,0.39330399,0.83130944
0.3338,68102.466,-3.02148,5.29358,6.79714,1.21623,0.70433,1.36773,15.72,-21.72,1.56,48.345287,10.480822,127.926704,0.3651786943030339,0.10412184,0.40296784,0.83271849
0.356,68102.487,-2.15478,4.98233,6.0693,1.02748,0.7251,1.50395,15.78,-22.32,2.28,49.504395,10.300247,129.694778,0.35040306065541305,0.10345073,0.41211134,0.83467352
0.3714,68102.507,-1.33596,4.8315,6.26802,0.87781,0.8436,1.53999,15.84,-22.56,3.06,50.357056,9.844928,131.701004,0.33557049958698687,0.10255522,0.41854426,0.83767271
0.3938,68102.527,-0.46926,4.31196,6.35421,0.78252,1.1356,1.59741,15.48,-23.22,3.9,50.991398,9.273087,133.955032,0.3198282790938737,0.10064083,0.42339787,0.84161484
0.4113,68102.547,0.69192,3.93846,6.22971,0.6805,1.59191,1.65789,14.52,-24.3,4.98,51.473484,8.636545,136.618011,0.3016090722998956,0.09701423,0.42741227,0.84672248
0.4335,68102.568,1.71904,3.7182,5.39414,0.5791,1.98165,1.72142,13.98,-24.9,5.58,51.878304,8.032685,139.8918,0.27882574776904917,0.09045875,0.4314844,0.85316741
0.4569,68102.588,2.54743,3.95283,3.76847,0.30482,2.15086,1.74341,13.38,-25.68,6.06,52.18932,7.306112,143.484741,0.25417005301336126,0.08318292,0.43478981,0.85990465
0.4768,68102.608,3.77805,4.77883,3.39737,-0.21686,2.11787,1.67683,12.66,-25.8,7.2,52.27845,6.15024,147.536179,0.22788477807140936,0.07672986,0.43584511,0.86730623
0.5036,68102.628,5.12359,5.6575,4.97036,-0.61514,2.24004,1.45264,11.88,-25.86,7.8,51.856415,4.621025,151.821899,0.20165085117585282,0.07118531,0.43257284,0.87587118
0.5186,68102.648,6.25605,5.94001,4.67588,-0.8656,2.49355,0.92057,10.56,-26.1,8.4,51.092274,3.38735,155.81073,0.17649767404143676,0.06424189,0.42706859,0.88449645
0.5381,68102.668,5.09007,5.35822,3.21062,-1.20279,2.38299,0.41172,9.3,-26.04,8.82,50.135963,3.010232,158.892853,0.1549042626020371,0.05418509,0.42074004,0.89221436
0.5569,68102.688,3.19147,4.92487,2.99754,-1.65728,2.10138,0.34575,8.52,-26.52,8.58,48.839478,3.094754,161.145889,0.13807127099210267,0.04343404,0.41171339,0.89974546
0.5713,68102.708,2.78924,5.15472,4.16831,-1.87352,1.64017,0.49847,7.56,-26.82,8.52,47.108871,2.957353,163.284515,0.12299525532507288,0.0346631,0.39868274,0.90814245
0.5968,68102.728,3.44526,5.9041,5.66947,-1.75807,1.20768,0.52595,7.14,-27.0,8.46,45.228477,2.335412,165.445404,0.10913495301141041,0.03003766,0.38373104,0.9164812
0.6141,68102.748,3.64637,6.80193,6.03818,-1.50578,0.70677,0.53756,7.14,-27.24,8.16,43.565811,1.456688,167.383194,0.09733725473238196,0.02903972,0.37011099,0.92341757
0.6339,68102.768,4.27365,7.96551,6.56011,-1.24494,0.02749,0.54734,6.96,-27.42,7.5,42.222904,0.143046,169.142319,0.08781172413405729,0.03291739,0.3586776,0.92873889
0.6625,68102.788,5.6551,9.02853,7.94875,-0.93646,-0.551,0.22052,6.78,-27.42,6.78,41.177471,-1.798212,170.654144,0.08175460769892555,0.04328582,0.34924883,0.93245256
0.6849,68102.808,5.2457,9.1674,7.85059,-0.72876,-0.99571,-0.16738,6.72,-27.6,5.58,40.47607,-3.800887,171.465149,0.08121967710186159,0.05675574,0.342457,0.93429404
0.6983,68102.828,4.20661,8.89207,8.32224,-0.62797,-1.4337,-0.34453,6.42,-27.54,4.62,39.977119,-5.816102,171.593628,0.08608476091656743,0.07257081,0.33697963,0.93475538
0.7199,68102.848,3.11725,8.82024,9.25119,-0.41417,-1.79717,-0.24312,6.48,-27.84,3.84,39.578125,-7.954031,171.402634,0.09377399018294817,0.09039272,0.33190122,0.93427896
0.7362,68102.868,3.69665,9.73004,9.93594,-0.00061,-2.35855,-0.14355,6.84,-28.08,3.06,39.45145,-10.514231,171.319977,0.10177107938334043,0.11143553,0.32860762,0.93233138
0.7546,68102.888,5.15232,10.65899,11.02051,0.32926,-2.52165,-0.42761,7.02,-28.02,3.0,39.742012,-13.600989,171.258667,0.11129837957097422,0.13675977,0.328044,0.92806065
0.7762,68102.908,4.92248,10.71166,10.74039,0.37202,-2.15086,-0.90042,7.26,-28.38,3.12,40.345619,-16.135248,170.598572,0.12439650035872203,0.15927094,0.3294957,0.92227483
0.7958,68102.928,3.68707,10.37647,10.01734,0.12645,-1.74402,-1.16187,7.44,-27.9,3.0,41.032082,-17.667362,169.274551,0.14007943095747707,0.17556369,0.33135444,0.91638386
0.8127,68102.948,3.21781,9.81862,11.12346,0.04093,-1.57542,-1.17836,7.62,-27.72,2.94,41.54282,-18.518517,167.553024,0.15676591897496076,0.18750171,0.33164766,0.91119558
0.8423,68102.968,3.60567,9.77792,12.23676,0.3879,-1.44409,-1.19302,7.8,-27.42,2.58,42.085361,-19.180727,165.855164,0.17267270519843464,0.19790092,0.3322064,0.90590191
0.8538,68102.988,3.83312,9.70609,11.54484,0.85765,-1.36895,-1.35979,8.34,-27.12,2.04,43.079319,-19.769463,164.305313,0.18755020620435023,0.20756643,0.33650628,0.89916885
0.8736,68103.008,3.17711,9.07881,9.63427,1.1527,-1.46974,-1.58397,8.7,-26.7,2.04,44.653976,-20.246929,162.678055,0.20314143476247612,0.2170548,0.34522852,0.89018989
0.8972,68103.029,2.18351,8.06367,8.59997,1.20463,-1.65239,-1.69332,9.12,-26.52,2.4,46.456001,-20.631062,160.81369,0.22030261007540108,0.22691621,0.35516721,0.87967724
0.9144,68103.049,1.44849,7.07726,8.66701,1.28404,-1.75563,-1.73119,9.66,-26.52,3.06,48.269386,-20.923157,158.598022,0.23958762961601301,0.23748311,0.3643252,0.86802459
0.9341,68103.07,1.02711,6.20338,8.43238,1.47829,-1.76601,-1.81366,10.62,-26.22,3.12,49.977249,-21.045465,156.334534,0.2582429523214057,0.24717928,0.37256539,0.85639244
0.9533,68103.09,0.06704,5.26964,7.35978,1.57359,-1.7147,-1.89551,11.76,-26.28,3.78,51.954189,-20.872244,153.693954,0.27843831965349997,0.25658852,0.38241085,0.84285015
0.9834,68103.11,-1.16119,4.42927,6.33985,1.54915,-1.63895,-1.84726,12.78,-26.1,3.84,53.80175,-20.188198,150.804764,0.2980169215721316,0.26351964,0.39167371,0.82965958
1.0019,68103.13,-2.05662,3.59849,5.51624,1.51189,-1.54488,-1.69637,13.74,-25.8,4.08,55.506428,-19.022158,147.603958,0.3173646290438032,0.26853979,0.40023986,0.81668484
1.0135,68103.15,-2.92093,3.07176,4.22337,1.43614,-1.4166,-1.50578,13.98,-25.32,4.62,57.061958,-17.38998,144.162704,0.33589973224653996,0.27163619,0.40837979,0.80412132
1.0414,68103.17,-3.63679,2.68869,2.9305,1.22173,-1.36467,-1.22662,14.34,-24.6,4.26,58.421661,-15.252351,140.505478,0.3532526772588192,0.272452,0.41612563,0.79235214
1.0643,68103.19,-3.7158,2.74615,1.78368,0.86987,-1.3042,-0.94501,15.42,-23.64,4.26,59.506889,-12.811164,136.705536,0.3697219756560989,0.2719529,0.42265847,0.78147751
1.0787,68103.21,-3.2202,3.23696,1.50116,0.32315,-1.1692,-0.81428,16.02,-23.04,4.32,60.246761,-10.500308,133.120941,0.38474908903968974,0.27140954,0.42703554,0.77197516
1.1038,68103.23,-3.09331,3.57215,1.58257,-0.26817,-0.89309,-0.86499,16.74,-22.86,4.32,60.490658,-8.571621,130.019089,0.3980575913472066,0.27071813,0.42799515,0.76490653
1.1145,68103.25,-3.39019,3.66073,1.87945,-0.9279,-0.53206,-0.90958,17.4,-22.2,4.68,60.09016,-6.174033,126.746689,0.4114950249678469,0.26573986,0.42604005,0.76062083
1.1335,68103.27,-3.33033,4.01747,2.90896,-1.44531,-0.17837,-0.91385,17.34,-22.02,4.8,58.891869,-2.951618,123.10228,0.425830719201594,0.25382838,0.42141008,0.75937665
1.1542,68103.291,-3.46202,4.31675,3.66073,-1.72875,0.01405,-0.95112,17.58,-21.42,4.32,57.027832,1.028923,119.202675,0.44091977487944073,0.23474194,0.4157213,0.76004064
1.1751,68103.311,-4.11084,4.51068,4.58729,-1.82465,0.08796,-0.8882,18.18,-20.94,3.6,54.624836,4.751314,115.760849,0.45589982660764644,0.21255825,0.40785995,0.76198727
1.1999,68103.331,-4.74531,4.5418,4.84586,-1.80144,0.05803,-0.71349,18.18,-20.7,2.7,52.1665,7.824932,113.117813,0.46876803114192456,0.190594,0.39980626,0.76425481
1.2214,68103.352,-5.65032,4.44843,5.27203,-1.82832,-0.09652,-0.34636,18.78,-20.28,1.68,49.696053,10.214393,111.216896,0.47965193060028044,0.16975477,0.39100897,0.7669611
1.2407,68103.372,-5.99987,5.2433,6.72531,-1.91934,-0.02627,0.16249,19.44,-20.04,1.08,47.116718,11.622034,110.349884,0.48756643872359084,0.15088823,0.37941414,0.77172315
1.2652,68103.392,-4.63757,7.02938,8.61913,-2.02013,0.45693,0.53206,19.56,-20.04,0.3,44.716969,12.195694,110.69783,0.4896163405132327,0.13424754,0.36701548,0.77945691
1.2818,68103.412,-4.01508,8.49463,8.9208,-2.25715,0.99021,0.67928,20.1,-20.28,-0.6,42.407513,12.754996,111.786598,0.48627376887552315,0.11580907,0.35568962,0.78969043
1.3027,68103.432,-3.84748,9.75158,10.05086,-2.50394,1.17592,0.85277,20.04,-20.76,-1.62,39.993359,13.433166,113.370338,0.4791615642252319,0.09468639,0.34417272,0.80186272
1.3267,68103.452,-2.36547,11.28866,13.18726,-2.34267,1.16553,0.98227,19.74,-20.94,-2.58,37.51548,13.712218,115.50489,0.469159092694648,0.07475431,0.33033448,0.81558609
1.3407,68103.473,-1.37906,12.06917,14.71476,-1.76174,1.22417,0.83444,19.74,-20.76,-3.12,35.307522,13.837305,117.732384,0.4578323589792406,0.05740402,0.31704175,0.82860053
1.3569,68103.493,-2.13563,11.65258,14.68364,-1.14293,1.04947,0.79657,19.26,-20.76,-3.54,33.638405,14.311842,119.578789,0.4467543561043451,0.04141632,0.30810529,0.83890784
1.379,68103.513,-2.76291,10.5273,15.65329,-0.32009,0.72693,1.02809,18.72,-20.7,-3.48,32.802147,14.629039,121.130882,0.4362873583968744,0.03126071,0.30393144,0.84634614
1.4001,68103.534,-2.31759,9.72764,15.83525,0.70188,0.61453,1.31886,18.72,-20.76,-3.84,32.995136,14.609632,122.723267,0.4241291908978526,0.02799973,0.30564162,0.85200566
1.4215,68103.554,-1.70228,8.88488,13.78821,1.48074,0.66706,1.45203,18.6,-21.18,-3.84,34.460335,14.488614,124.365257,0.4091187649012433,0.03060181,0.31609395,0.85543555
1.4405,68103.574,-1.26653,8.00621,11.25035,1.72997,0.78496,1.50273,18.3,-21.42,-3.6,36.605648,14.44055,125.853615,0.39353206638332733,0.03554391,0.33171991,0.85663939
1.4639,68103.595,-1.20668,6.99825,9.42597,1.66766,0.86621,1.51556,18.18,-21.84,-3.12,38.954632,14.459295,127.349037,0.3771580013981077,0.04035207,0.34909239,0.85688859
