AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:35,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:47,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:49,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:52,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:68,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:71,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:02:34,wifi_rssi_20:23:00:00:02:35,wifi_rssi_20:23:00:00:02:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:35,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:47,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:49,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:52,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:68,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:71,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:02:34,wifi_freq_20:23:00:00:02:35,wifi_freq_20:23:00:00:02:82
0.1323,-76.0,,,,,-84.0,,,,-63.0,,,,,,,,,,,-77.0,-88.0,,,,,,-84.0,,-84.0,,,,,-84.0,-84.0,-78.0,-87.0,,,-81.0,,,,,,-85.0,-83.0,-88.0,,,,,,-86.0,-83.0,,,,,,,,2437.0,,,,,2462.0,,,,2417.0,,,,,,,,,,,2462.0,2412.0,,,,,,2427.0,,2437.0,,,,,5200.0,5200.0,2462.0,2462.0,,,2462.0,,,,,,2472.0,2462.0,5240.0,,,,,,2437.0,2462.0,,,,,,,
4.0828,-80.0,,,,,-88.0,,,-88.0,-66.0,-75.0,,,,,,,,,,-79.0,-84.0,,,,,,,,-84.0,,-85.0,,-86.0,-84.0,-85.0,-79.0,-84.0,,,,-84.0,,,,-86.0,-86.0,-84.0,-91.0,,,,,-87.0,,,-86.0,,,,,,,2437.0,,,,,2462.0,,,5200.0,2417.0,2452.0,,,,,,,,,,2462.0,2412.0,,,,,,,,2437.0,,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,2437.0,,,,2412.0,2472.0,2462.0,5240.0,,,,,2437.0,,,2462.0,,,,,,
8.0944,-76.0,,,,,,,,-88.0,-63.0,-79.0,,,-84.0,-89.0,-90.0,-89.0,,,,-83.0,,,,,,,,,-82.0,,,,-79.0,-85.0,-82.0,-83.0,-89.0,,-86.0,,,,,,-85.0,-89.0,-84.0,,,,,,,,,,,,,,,,2437.0,,,,,,,,5200.0,2417.0,2452.0,,,2412.0,2412.0,2412.0,2412.0,,,,2462.0,,,,,,,,,2437.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2412.0,,,,,,2412.0,2472.0,2462.0,,,,,,,,,,,,,,,
12.085,-72.0,,,,,-88.0,,,-88.0,-66.0,-80.0,,,-79.0,,,,,,,-82.0,,,,,,,,,-84.0,,-86.0,,-82.0,-84.0,-84.0,,,,-87.0,,-83.0,-82.0,-84.0,,,,-84.0,,,,,,,,,,,,,,,,2437.0,,,,,2462.0,,,5200.0,2417.0,2452.0,,,2412.0,,,,,,,2462.0,,,,,,,,,2437.0,,2422.0,,2437.0,5200.0,5200.0,,,,2412.0,,2437.0,2437.0,2437.0,,,,2462.0,,,,,,,,,,,,,,,
16.1181,,,,,,,,,-88.0,-69.0,-80.0,,-86.0,,,,,,,,-79.0,,,,,,,-86.0,,-82.0,,,,-79.0,-85.0,-84.0,-79.0,-88.0,-93.0,,,-81.0,-86.0,-80.0,,,-90.0,,,,,,,,-91.0,,,,,-87.0,,,,,,,,,,,,5200.0,2417.0,2452.0,,2462.0,,,,,,,,2462.0,,,,,,,2427.0,,2437.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,2437.0,2437.0,2437.0,,,2472.0,,,,,,,,2437.0,,,,,5260.0,,,
20.0803,-79.0,,,,,,,,-87.0,-65.0,-76.0,,,-87.0,,,-87.0,,,,-80.0,-88.0,,,,,,-82.0,,,,-82.0,,,-82.0,-81.0,-82.0,,,,,-84.0,-82.0,-78.0,-88.0,,,,,,,,,,,-87.0,-86.0,,,,,,,2437.0,,,,,,,,5200.0,2417.0,2452.0,,,2412.0,,,2412.0,,,,2462.0,2412.0,,,,,,2427.0,,,,2422.0,,,5200.0,5200.0,2462.0,,,,,2437.0,2437.0,2437.0,2462.0,,,,,,,,,,,2462.0,2462.0,,,,,,
24.089,,-90.0,,,,,,,,-67.0,-80.0,,,,,-89.0,,,,,-79.0,,,,,,,-81.0,,,,-87.0,,-83.0,-84.0,-84.0,-80.0,-86.0,-90.0,,-88.0,-87.0,-81.0,,,,-89.0,,-88.0,-91.0,-84.0,,,,,,,,,,,,,,2437.0,,,,,,,,2417.0,2452.0,,,,,2412.0,,,,,2462.0,,,,,,,2427.0,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,2462.0,2437.0,2437.0,,,,2472.0,,5240.0,5520.0,5520.0,,,,,,,,,,,,
28.1158,-71.0,,,,,,,,,-67.0,-84.0,,-89.0,-86.0,,,,,,,-73.0,-86.0,,,,,,-81.0,,-88.0,,-87.0,,-78.0,-84.0,-85.0,-75.0,-86.0,-90.0,-83.0,,-82.0,-82.0,,-84.0,-87.0,-86.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,,,,,,,2462.0,2412.0,,,,,,2427.0,,2437.0,,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,2412.0,,2437.0,2437.0,,2462.0,2412.0,2472.0,,,,,,,,,,,,,,,,
32.1083,-80.0,,,,,,,,,-67.0,-81.0,,,-87.0,-92.0,,-91.0,,,,-81.0,-86.0,,,,,-92.0,-78.0,,-83.0,,-87.0,,-80.0,-86.0,-85.0,-78.0,,,,,-81.0,-86.0,-86.0,-85.0,,-85.0,-85.0,,-85.0,,,,,,,,-90.0,,,,,,2437.0,,,,,,,,,2417.0,2452.0,,,2412.0,2412.0,,2412.0,,,,2462.0,2412.0,,,,,2462.0,2427.0,,2437.0,,2422.0,,2437.0,5200.0,5200.0,2462.0,,,,,2437.0,2437.0,2437.0,2462.0,,2472.0,2462.0,,5520.0,,,,,,,,2462.0,,,,,
36.1021,-76.0,,,,,,,,-87.0,-69.0,-80.0,,,,,,,,,,,-86.0,,,,,,-87.0,,,,-87.0,,-80.0,-84.0,-85.0,-75.0,-87.0,,-86.0,,-83.0,,,-85.0,-89.0,,,-89.0,-84.0,-84.0,,,,,,,,,,,,,2437.0,,,,,,,,5200.0,2417.0,2452.0,,,,,,,,,,,2412.0,,,,,,2427.0,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2412.0,,2437.0,,,2462.0,2412.0,,,5240.0,5520.0,5520.0,,,,,,,,,,,,
