AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:35,wifi_rssi_20:23:00:00:00:36,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:56,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:59,wifi_rssi_20:23:00:00:00:62,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:71,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:17,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:02:34,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:35,wifi_freq_20:23:00:00:00:36,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:56,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:59,wifi_freq_20:23:00:00:00:62,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:71,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:17,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:02:34,wifi_freq_20:23:00:00:03:11
2.198,,,,,,,,,,,,,-80.0,-87.0,-85.0,,,,,,,,,,,-79.0,,,,,-90.0,-82.0,,-80.0,,-87.0,-79.0,,,-84.0,,-85.0,-85.0,-81.0,,-83.0,-86.0,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452.0,2462.0,2412.0,,,,,,,,,,,2427.0,,,,,2437.0,2422.0,,2437.0,,5200.0,2462.0,,,2412.0,,2437.0,2437.0,2437.0,,2412.0,2472.0,2462.0,,,,,,,,,,,,,,,,,,
6.1442,-74.0,,,,,,,,-85.0,-65.0,,,-80.0,-87.0,-85.0,,,,,,,,,,,-82.0,,,,,-86.0,-86.0,,-80.0,-86.0,-86.0,-77.0,-89.0,,-84.0,-85.0,-83.0,,-81.0,,-84.0,,,,,,,,,,-87.0,-85.0,,,,,,,,,,2437.0,,,,,,,,5200.0,2417.0,,,2452.0,2462.0,2412.0,,,,,,,,,,,2427.0,,,,,2437.0,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2412.0,2462.0,2437.0,,2437.0,,2412.0,,,,,,,,,,2437.0,2462.0,,,,,,,,,
10.1687,-70.0,,,,,,,,-90.0,-69.0,,,-84.0,-89.0,,,,,,,,,-79.0,,,-83.0,,,,,,-83.0,,-79.0,-84.0,-84.0,-78.0,,,-86.0,-86.0,-83.0,-83.0,,,-87.0,,-85.0,,,,,,,-86.0,,-89.0,,,,-88.0,,,,,,2437.0,,,,,,,,5200.0,2417.0,,,2452.0,2462.0,,,,,,,,,2462.0,,,2427.0,,,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,,,2412.0,2462.0,2437.0,2437.0,,,2412.0,,2462.0,,,,,,,2437.0,,2462.0,,,,2462.0,,,,,
14.1934,-74.0,,,,,-85.0,,,,-70.0,,,-84.0,-89.0,,,,,,,,,-77.0,,,-83.0,,,,,,-83.0,,-82.0,-87.0,-86.0,-82.0,,,,-86.0,-79.0,-85.0,-80.0,-89.0,,-91.0,,,,,,,,-86.0,-87.0,,-91.0,,,-88.0,,,,,,2437.0,,,,,2462.0,,,,2417.0,,,2452.0,2462.0,,,,,,,,,2462.0,,,2427.0,,,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,,,,2462.0,2437.0,2437.0,2437.0,2462.0,,2472.0,,,,,,,,2437.0,2437.0,,5680.0,,,2462.0,,,,,
18.1709,-70.0,,,,,,,,-85.0,-64.0,,,-79.0,-86.0,-87.0,,,,,,,,-77.0,-84.0,,,,,,,,-85.0,,-85.0,-84.0,-83.0,-79.0,,,,-88.0,-83.0,-82.0,-80.0,-88.0,,-84.0,-88.0,,,,,,,,,-87.0,,,,,,,,,,2437.0,,,,,,,,5200.0,2417.0,,,2452.0,2462.0,2412.0,,,,,,,,2462.0,2412.0,,,,,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,,,,2462.0,2437.0,2437.0,2437.0,2462.0,,2472.0,2462.0,,,,,,,,,2462.0,,,,,,,,,
22.1765,-76.0,,,,,,,,,-63.0,,,-81.0,-85.0,-84.0,,,,,,,,-78.0,,,,,,,,,-82.0,,,-87.0,-88.0,-81.0,-88.0,,,,-81.0,-81.0,-77.0,-87.0,,-85.0,-88.0,-88.0,-83.0,,-88.0,,,,,,,,,,,,,,,2437.0,,,,,,,,,2417.0,,,2452.0,2462.0,2412.0,,,,,,,,2462.0,,,,,,,,,2422.0,,,5200.0,5200.0,2462.0,2462.0,,,,2437.0,2437.0,2437.0,2462.0,,2472.0,2462.0,5240.0,5520.0,,5240.0,,,,,,,,,,,,,,
26.1786,-82.0,,,,,-89.0,,,,,,,,,,,,,,,,,,,,-87.0,,,,,,-87.0,,-77.0,-87.0,-86.0,-81.0,-88.0,,-83.0,,,-78.0,-77.0,,-82.0,,-87.0,-88.0,,,,,,,,,,,,,,,,,,2437.0,,,,,2462.0,,,,,,,,,,,,,,,,,,,,2427.0,,,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2412.0,,,2437.0,2437.0,,2412.0,,2462.0,5240.0,,,,,,,,,,,,,,,,,
30.1717,-82.0,,,,,,,,,-62.0,,,-80.0,-84.0,,,,,,,,,-77.0,,,-84.0,,,,,,-83.0,,,-85.0,-85.0,-80.0,-91.0,,,,-81.0,-78.0,-78.0,,,-88.0,-84.0,-89.0,,,,,,,,,,-90.0,,,-89.0,-88.0,,,,2437.0,,,,,,,,,2417.0,,,2452.0,2462.0,,,,,,,,,2462.0,,,2427.0,,,,,,2422.0,,,5200.0,5200.0,2462.0,2462.0,,,,2437.0,2437.0,2437.0,,,2472.0,2462.0,5240.0,,,,,,,,,,2462.0,,,2462.0,2462.0,,,
34.173,-76.0,,,,,,,,,-63.0,,,-82.0,-84.0,-86.0,,,,,,,,-79.0,-90.0,,-84.0,,,,,-85.0,-84.0,,,-85.0,-85.0,-80.0,,,,,-81.0,-80.0,,,,,-85.0,-87.0,,,-87.0,,,,-89.0,,,,,,,,-92.0,,,2437.0,,,,,,,,,2417.0,,,2452.0,2462.0,2412.0,,,,,,,,2462.0,2412.0,,2427.0,,,,,2437.0,2422.0,,,5200.0,5200.0,2462.0,,,,,2437.0,2437.0,,,,,2462.0,5240.0,,,5240.0,,,,2437.0,,,,,,,,2412.0,,
38.1488,-76.0,,,,,,,,-87.0,-61.0,,,-80.0,-88.0,,,,,,,,,,-87.0,,-80.0,,,,,,-83.0,,,-85.0,-86.0,,,,,-84.0,-81.0,-80.0,-80.0,,,-91.0,-85.0,,-89.0,,,,,,-90.0,,,,,,,,,,,2437.0,,,,,,,,5200.0,2417.0,,,2452.0,2462.0,,,,,,,,,,2412.0,,2427.0,,,,,,2422.0,,,5200.0,5200.0,,,,,2462.0,2437.0,2437.0,2437.0,,,2472.0,2462.0,,5520.0,,,,,,2437.0,,,,,,,,,,
