AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:49,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:52,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:62,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:68,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:29,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:49,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:52,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:62,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:68,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:29,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:03:11
0.419,-82.0,,,,,,-87.0,,-74.0,,,-87.0,,,,,,,,,,,-87.0,,,,,,-92.0,,,-86.0,,,-86.0,-85.0,-87.0,-86.0,,,,,,-92.0,,,,,-92.0,-93.0,-92.0,,-93.0,,,,,,,,,,,,2437.0,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,,,,2462.0,,,,,,2427.0,,,2437.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,2437.0,,,,,2462.0,5240.0,5520.0,,5240.0,,,,,,,,,,,
4.3019,-79.0,,,,,,,,,,,-88.0,,,,,,,,,,,-87.0,,,,,,-89.0,,,-90.0,,-92.0,-92.0,-90.0,,,,-89.0,,-92.0,-90.0,-90.0,-90.0,,-90.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,2452.0,,,,,,,,,,,2462.0,,,,,,2427.0,,,2437.0,,2422.0,2437.0,5220.0,,,,2412.0,,2457.0,2437.0,2437.0,2437.0,,2412.0,,,,,,,,,,,,,,,,,
6.384,-85.0,,,,-91.0,,,,-73.0,,,-91.0,,,,,,,,,,,-87.0,,,,,,-91.0,,,-85.0,,,,-87.0,,-88.0,-91.0,,,-91.0,,-89.0,,,,,,,-92.0,,,,,,,,,,,,,,2437.0,,,,2462.0,,,,2417.0,,,2452.0,,,,,,,,,,,2462.0,,,,,,2427.0,,,2437.0,,,,5220.0,,2462.0,2462.0,,,2457.0,,2437.0,,,,,,,5520.0,,,,,,,,,,,,,
8.5737,-86.0,,,,-95.0,,,,-78.0,,,-93.0,,,,,-92.0,,,,,,,,,,,,-91.0,,,,,,-92.0,,-85.0,-87.0,-93.0,,,-89.0,,,,-93.0,,,-93.0,,,-90.0,,,-90.0,,,-92.0,-93.0,,,,,,2437.0,,,,2462.0,,,,2417.0,,,2452.0,,,,,2412.0,,,,,,,,,,,,2427.0,,,,,,2437.0,,5220.0,2462.0,2462.0,,,2457.0,,,,2462.0,,,2462.0,,,5520.0,,,5260.0,,,5240.0,5240.0,,,,,
12.2733,-83.0,,,,,,-86.0,,-71.0,,,-87.0,,,,,-90.0,,,,,,,,,,,,,,,-89.0,,-91.0,-91.0,-90.0,,,-91.0,,,,-89.0,-87.0,-90.0,-94.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,5200.0,,2417.0,,,2452.0,,,,,2412.0,,,,,,,,,,,,,,,2437.0,,2422.0,2437.0,5220.0,,,2462.0,,,,2437.0,2437.0,2437.0,2462.0,,,,,,,,,,,,,,,,,,
14.2279,-86.0,,,,,,-91.0,,-75.0,,,-80.0,,,,,,,,,,,,,,,,,,,,,,,-91.0,-90.0,,,-91.0,,,-92.0,-95.0,-95.0,,,,,-90.0,,,,,,,,,,,,,,,,2437.0,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,5220.0,,,2462.0,,,2457.0,2437.0,2437.0,,,,,2462.0,,,,,,,,,,,,,,,
16.3735,,,,-95.0,,,-90.0,,-76.0,,,,,,,,-88.0,,,,,,,,,,,,-89.0,,,-91.0,,,-87.0,-92.0,-89.0,-90.0,-87.0,,-91.0,,-89.0,-89.0,-90.0,,,-94.0,,,-87.0,-88.0,,,,,,,,-93.0,,-91.0,,,,,,2462.0,,,5200.0,,2417.0,,,,,,,,2412.0,,,,,,,,,,,,2427.0,,,2437.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2462.0,,2437.0,2437.0,2437.0,,,2472.0,,,5520.0,5520.0,,,,,,,,2462.0,,2462.0,,
18.2967,-83.0,,,,-95.0,,-88.0,,-70.0,,,-90.0,,,,,,,,,,,-90.0,,,,,,-88.0,,,-89.0,,,-87.0,-85.0,-86.0,-93.0,-87.0,,,,-92.0,,-92.0,,,-97.0,,-91.0,,,,,,,,,,,,,,,2437.0,,,,2462.0,,5200.0,,2417.0,,,2452.0,,,,,,,,,,,2462.0,,,,,,2427.0,,,2437.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,2437.0,,2437.0,,,2472.0,,5240.0,,,,,,,,,,,,,,
20.2366,-86.0,,,,,,,,-72.0,,,,,,,,-91.0,-92.0,,,,,,-94.0,,,,,-91.0,,,-89.0,,,-89.0,-87.0,-86.0,-87.0,-91.0,-91.0,,,,-90.0,-90.0,,,,,,,,,,,,,,,-95.0,,,,,2437.0,,,,,,,,2417.0,,,,,,,,2412.0,2412.0,,,,,,2412.0,,,,,2427.0,,,2437.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,2412.0,,,,2437.0,2437.0,,,,,,,,,,,,,,,2462.0,,,,
22.2339,-80.0,,,,,,,,-74.0,,,-88.0,,,,,,,,,,,-87.0,,,,,,-90.0,,,-91.0,,,-88.0,-89.0,-89.0,,-88.0,,,-94.0,-90.0,-91.0,-90.0,,,,-92.0,,,,,,,,,,,,,,,,2437.0,,,,,,,,2417.0,,,2452.0,,,,,,,,,,,2462.0,,,,,,2427.0,,,2437.0,,,2437.0,5220.0,5220.0,,2462.0,,,2457.0,2437.0,2437.0,2437.0,,,,2462.0,,,,,,,,,,,,,,,
