AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06
0.0857,,-87.0,,,
0.1495,,,-93.0,,
0.2367,,-91.0,,,
0.4513,,-91.0,,,
0.4971,,,-85.0,,
0.7039,,,-86.0,,
0.8501,,-86.0,,,
0.9273,,,-93.0,,
1.2511,,-85.0,,,
1.3194,,,-89.0,,
1.3873,,,,-99.0,
1.4779,,-92.0,,,
1.7204,,,-92.0,,
1.9527,,,-86.0,,
2.1286,,,-93.0,,
2.6809,,-86.0,,,
2.7478,,,-86.0,,
4.1452,,-80.0,,,
4.2159,,,-90.0,,
4.363,,-90.0,,,
4.4195,,,-85.0,,
4.5308,,-86.0,,,
4.7438,,-95.0,,,
4.9539,,-87.0,,,
4.993,,,-86.0,,
5.237,,-85.0,,,
5.2715,,,-95.0,,
5.3567,,-86.0,,,
5.6143,,,-87.0,,
6.0071,,-89.0,,,
6.4262,,,-92.0,,
7.6112,,-80.0,,,
7.8279,,-79.0,,,
8.0183,,-88.0,,,
8.2383,,-91.0,,,
8.2782,,,-83.0,,
8.3365,,,,-95.0,
8.4241,,-91.0,,,
8.5256,,,-97.0,,
8.7414,,,-88.0,,
8.8437,,-86.0,,,
8.896,,,-87.0,,
8.9497,,,,-97.0,
9.0541,,-85.0,,,
9.1053,,,-87.0,,
9.2711,,-86.0,,,
9.3111,,,-91.0,,
9.4712,,-89.0,,,
9.9028,,,-91.0,,
10.2839,,-87.0,,,
10.3146,,,-91.0,,
10.9396,,,-87.0,,
11.1095,,-83.0,,,
11.9836,,,-88.0,,
12.1336,,-88.0,,,
12.342,,-95.0,,,
12.5265,,-93.0,,,
12.5746,,,-91.0,,
12.9426,,-89.0,,,
13.169,,,-90.0,,
13.3684,,-89.0,,,
13.3928,,,-88.0,,
13.6759,,,,-94.0,
13.8112,,-86.0,,,
13.8152,,,-90.0,,
13.9883,,-86.0,,,
14.0119,,,-92.0,,
14.234,,,-82.0,,
14.3693,,-89.0,,,
14.5693,,-94.0,,,
14.6813,,,,-91.0,
15.6788,,,-89.0,,
16.2451,,,-92.0,,
16.4229,,-86.0,,,
16.464,,,-86.0,,
16.6543,,,-88.0,,
16.8507,,,-91.0,,
17.2415,,-86.0,,,
17.4406,,-89.0,,,
18.062,,-87.0,,,
18.2554,,-95.0,,,
20.3678,,,-89.0,,
20.5548,,,-87.0,,
20.8509,,,,-97.0,
20.9455,,-87.0,,,
20.952,,,-91.0,,
21.3705,,,-91.0,,
21.9662,,-84.0,,,
22.0809,,,,-96.0,
22.215,,-88.0,,,
22.2776,,,,-93.0,
22.3787,,,-83.0,,
22.5977,,-82.0,,,
23.0072,,-86.0,,,
23.0152,,,-82.0,,
23.2291,,-85.0,,,
23.8369,,-86.0,,,
23.8459,,,-89.0,,
24.0337,,,-90.0,,
24.4472,,-95.0,,,
24.6534,,,-91.0,,
24.8323,,-89.0,,,
24.8482,,,-85.0,,
24.9546,,,,-97.0,
25.0738,,,-85.0,,
25.2727,,,-88.0,,
25.4723,,-87.0,,,
25.6815,,-83.0,,,
25.9198,,-88.0,,,
26.0779,,-83.0,,,
26.2835,,-87.0,,,
26.3008,,,-83.0,,
26.4931,,-86.0,,,
26.5104,,,-82.0,,
26.737,,-84.0,,,
27.124,,,-92.0,,
27.7446,,-89.0,,,
27.7593,,,-86.0,,
28.5631,,,-93.0,,
28.7931,,,-91.0,,
28.8564,,,,-97.0,
28.9989,,,-90.0,,
29.3845,,,-87.0,,
29.6234,,,-86.0,,
29.7743,,-90.0,,,
29.8392,,,-84.0,,
30.2275,,-91.0,,,
30.2418,,,-93.0,,
30.4336,,,-89.0,,
31.1091,,,,-96.0,
31.2369,,,-85.0,,
31.8529,,,-86.0,,
32.3441,,,,-94.0,
32.4589,,-90.0,,,
32.6807,,,-87.0,,
32.839,,-88.0,,,
33.0242,,-88.0,,,
33.0967,,,-88.0,,
33.2575,,-97.0,,,
33.4504,,-89.0,,,
33.5269,,,-87.0,,
33.6585,,-89.0,,,
33.8424,,-91.0,,,
33.9152,,,-97.0,,
34.0535,,-84.0,,,
34.3141,,,-82.0,,
34.4808,,-93.0,,,
35.1409,,,-80.0,,
35.3402,,,-83.0,,
35.4271,,,,-92.0,
35.6874,,-93.0,,,
35.8953,,-95.0,,,
35.9465,,,-84.0,,
36.1654,,,-84.0,,
36.2472,,,,-97.0,
36.5164,,-93.0,,,
36.9037,,-95.0,,,
36.9635,,,-89.0,,
37.1551,,,-85.0,,
37.3813,,,-86.0,,
37.5728,,,-86.0,,
37.7544,,-94.0,,,
38.1389,,-86.0,,,
38.2015,,,-87.0,,
38.3401,,-88.0,,,
38.3984,,,-87.0,,
38.5496,,-88.0,,,
38.8058,,,-87.0,,
40.2002,,-82.0,,,
40.3798,,-84.0,,,
40.6105,,-95.0,,,
40.8573,,,-89.0,,
41.2375,,-94.0,,,
41.2707,,,-95.0,,
41.4091,,-86.0,,,
41.4939,,,-93.0,,
41.6762,,,-87.0,,
41.8255,,-90.0,,,
41.8915,,,-87.0,,
42.1359,,,-92.0,,
42.6841,,-93.0,,,
43.0772,,-84.0,,,
43.1054,,,-85.0,,
44.5314,,,-91.0,,
44.7161,,-88.0,,,
44.7912,,,-88.0,,
44.9214,,-88.0,,,
44.9404,,,-88.0,,
45.3263,,-86.0,,,
45.3486,,,-87.0,,
45.5575,,,-90.0,,
45.9598,,-89.0,,,
45.976,,,-88.0,,
46.197,,-86.0,,,
46.2056,,,-87.0,,
46.3512,,-86.0,,,
46.3619,,,-87.0,,
46.593,,-91.0,,,
48.2167,,,-89.0,,
48.2516,,-88.0,,,
48.6251,,,-89.0,,
49.0476,,-89.0,,,
49.2369,,-87.0,,,
49.4459,,,-88.0,,
49.4601,,-87.0,,,
49.6332,,,-88.0,,
49.6468,,-88.0,,,
50.461,,,-88.0,,
50.466,,-87.0,,,
50.8631,,,-89.0,,
51.0727,,,-85.0,,
51.8821,,,-88.0,,
51.8948,,-92.0,,,
52.1076,,,-89.0,,
52.1209,,-92.0,,,
52.7091,,,-86.0,,
52.9149,,,-88.0,,
53.1328,,-94.0,,,
53.5239,,,-91.0,,
54.1539,,,-88.0,,
54.2019,,-93.0,,,
54.4059,,-91.0,,,
54.4644,,,,-96.0,
55.0831,,,,-94.0,
55.5748,,,-88.0,,
55.5973,,-89.0,,,
55.8082,,,-89.0,,
55.9843,,,-91.0,,
56.2148,,,-89.0,,
56.3949,,-86.0,,,
56.5932,,,-85.0,,
56.6052,,-88.0,,,
56.8277,,,-91.0,,
56.8342,,-94.0,,,
57.0157,,-89.0,,,
57.2369,,,-92.0,,
57.2535,,-87.0,,,
57.4384,,,-87.0,,
57.6168,,,-87.0,,
57.6461,,-92.0,,,
57.8173,,,-92.0,,
58.253,,-82.0,,,
58.465,,-81.0,,,
58.6448,,,-88.0,,
58.859,,,-87.0,,
59.066,,,-93.0,,
59.2821,,,-94.0,,
59.687,,-94.0,,,
60.4844,,,-97.0,,
60.5063,,-84.0,,,
60.7065,,-83.0,,,
60.8896,,,-87.0,,
61.0977,,,-88.0,,
61.7756,,,-81.0,,
61.7864,,-85.0,,,
61.9119,,,-92.0,,
61.9241,,-90.0,,,
62.1092,,,-85.0,,
62.3113,,,-81.0,,
62.5434,,-88.0,,,
63.3477,,-86.0,,,
64.3808,,-84.0,,,
64.6054,,,-91.0,,
64.6194,,-93.0,,,
64.915,,,,-95.0,
65.1821,,,-86.0,,
65.1973,,-93.0,,,
65.5973,,,-90.0,,
65.6197,,-90.0,,,
65.7285,,,,-96.0,
65.81,,,-85.0,,
65.8326,,-89.0,,,
66.2261,,-89.0,,,
66.3432,,,,-95.0,
66.4241,,,-85.0,,
66.4454,,-84.0,,,
66.6519,,-89.0,,,
67.635,,,-93.0,,
67.67,,-82.0,,,
67.8282,,,-96.0,,
68.2931,,-82.0,,,
68.4011,,,,-93.0,
68.4392,,,-92.0,,
68.6491,,,-95.0,,
68.6957,,-81.0,,,
68.899,,-90.0,,,
69.1039,,-84.0,,,
69.516,,-90.0,,,
69.7433,,-85.0,,,
69.9277,,-85.0,,,
70.2879,,,-95.0,,
70.3437,,-88.0,,,
70.507,,,-92.0,,
70.689,,,-94.0,,
70.7547,,-85.0,,,
71.9332,,,-96.0,,
71.9968,,-91.0,,,
72.2066,,-90.0,,,
72.4186,,-93.0,,,
72.6325,,-93.0,,,
72.9524,,,-90.0,,
73.0312,,-84.0,,,
73.2432,,-86.0,,,
73.4584,,-93.0,,,
73.6314,,-88.0,,,
73.8587,,-89.0,,,
74.0413,,-91.0,,,
74.4754,,-89.0,,,
75.3872,,,,-92.0,
75.9041,,-86.0,,,
76.1953,,,,-99.0,
76.3225,,-84.0,,,
76.8757,,,-92.0,,
76.935,,-77.0,,,
77.0503,,,-95.0,,
77.1435,,-92.0,,,
77.2504,,,-98.0,,
77.3284,,-77.0,,,
77.7556,,-77.0,,,
77.9437,,-79.0,,,
78.1658,,-87.0,,,
78.3741,,-81.0,,,
78.5783,,-80.0,,,
79.8868,,,,-94.0,
80.0332,,-78.0,,,
80.3238,,,-96.0,,
80.4259,,-79.0,,,
81.0484,,-84.0,,,
81.4449,,-81.0,,,
81.8633,,-82.0,,,
81.9229,,,,-94.0,
82.0721,,-79.0,,,
82.2799,,-88.0,,,
82.369,,,,-91.0,
82.6759,,-77.0,,,
82.9445,,,,-87.0,
83.5616,,,,-91.0,
83.6971,,-84.0,,,
84.7234,,-75.0,,,
84.9933,,,,-95.0,
85.1168,,-85.0,,,
85.207,,,,-97.0,
85.7337,,-84.0,,,
86.1412,,-75.0,,,
86.347,,-69.0,,,
87.2582,,,,-93.0,
87.7875,,-70.0,,,
88.0014,,-77.0,,,
88.2106,,-72.0,,,
88.2679,,,,-92.0,
88.6092,,-71.0,,,
88.8148,,-75.0,,,
89.022,,-83.0,,,
89.1123,,,,-90.0,
89.4393,,-79.0,,,
89.5054,,,,-86.0,
89.7141,,,,-93.0,
89.8534,,-74.0,,,
90.6684,,-75.0,,,
90.8758,,-74.0,,,
90.9487,,,,-90.0,
91.57,,,,-96.0,
91.7045,,-82.0,,,
92.3508,,-79.0,,,
92.5239,,-73.0,,,
92.7228,,-78.0,,,
92.9206,,-68.0,,,
93.1576,,-73.0,,,
93.2163,,,,-97.0,
93.3389,,-78.0,,,
93.4183,,,,-92.0,
93.5745,,-76.0,,,
93.7835,,-73.0,,,
94.3686,,-67.0,,,
94.4624,,,,-95.0,
94.5489,,-78.0,,,
95.1724,,-64.0,,,
96.0166,,-69.0,,,
96.1015,,,,-95.0,
96.4068,,-81.0,,,
96.4867,,,,-95.0,
97.4504,,-81.0,,,
97.6311,,-75.0,,,
97.8459,,-77.0,,,
97.9242,,,,-95.0,
98.0776,,-86.0,,,
98.2461,,-78.0,,,
98.473,,-68.0,,,
98.6709,,-73.0,,,
