AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:14,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:17,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:22,wifi_rssi_20:23:00:00:01:23,wifi_rssi_20:23:00:00:01:24,wifi_rssi_20:23:00:00:01:26,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:28,wifi_rssi_20:23:00:00:01:29,wifi_rssi_20:23:00:00:01:32,wifi_rssi_20:23:00:00:01:35,wifi_rssi_20:23:00:00:01:36,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:42,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:46,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:52,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:02:15,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:03:22,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:43,wifi_rssi_20:23:00:00:03:44,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:14,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:17,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:22,wifi_freq_20:23:00:00:01:23,wifi_freq_20:23:00:00:01:24,wifi_freq_20:23:00:00:01:26,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:29,wifi_freq_20:23:00:00:01:32,wifi_freq_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:36,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:42,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:46,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:52,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:02:15,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:03:22,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:43,wifi_freq_20:23:00:00:03:44
2.477,-93.0,,,-76.0,-92.0,,,,-90.0,,,,-89.0,-89.0,,-89.0,-91.0,-91.0,-86.0,,-89.0,,-91.0,-81.0,-84.0,-89.0,-87.0,,,-90.0,,-89.0,-76.0,-76.0,-91.0,,,,,,-86.0,-86.0,-90.0,-85.0,,,-86.0,,,,,,,,,,,-93.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,2417.0,2452.0,,,,2462.0,,,,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,2412.0,,2462.0,2457.0,2437.0,2437.0,2437.0,,,2472.0,,5240.0,5520.0,5520.0,5240.0,,,,,,5240.0,5240.0,2462.0,5680.0,,,5680.0,,,,,,,,,,,5180.0,,,,,,,,,,,,,,,,,,,,,,
6.4486,-90.0,,,-76.0,-85.0,,,,-87.0,,,-89.0,-92.0,-89.0,,-88.0,-90.0,,-87.0,,-85.0,,,-83.0,-90.0,-92.0,-82.0,,,-92.0,,-88.0,-80.0,-80.0,-89.0,,,,-88.0,,-84.0,-84.0,,-86.0,,,-86.0,,,-90.0,,,,,,,,-92.0,,,,,-91.0,-90.0,,,-91.0,,,-91.0,,,,,,,,,,,2437.0,,,2417.0,2452.0,,,,2462.0,,,2427.0,2437.0,2422.0,,5220.0,5220.0,,2462.0,,2412.0,,,2457.0,2437.0,2437.0,2437.0,,,2472.0,,5240.0,5520.0,5520.0,5240.0,,,,2437.0,,5240.0,5240.0,,5680.0,,,5680.0,,,5500.0,,,,,,,,5180.0,,,,,2412.0,2432.0,,,2432.0,,,2432.0,,,,,,,,,,
10.6175,-90.0,,-94.0,-79.0,-89.0,,,,-90.0,-92.0,,-81.0,-91.0,,,-91.0,,,-86.0,,-85.0,-81.0,-85.0,-82.0,-86.0,-81.0,-82.0,,-84.0,,,-91.0,-77.0,-77.0,-88.0,,,-89.0,-87.0,,,,-85.0,-91.0,,,-88.0,,,,,-88.0,-87.0,,,,-94.0,-94.0,,,-93.0,,-91.0,,,,,,,,,,,,,,,,,,2437.0,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,,2427.0,2437.0,,,5220.0,,,2462.0,,2412.0,2412.0,2462.0,2457.0,2437.0,2437.0,2437.0,,2412.0,,,5240.0,5520.0,5520.0,5240.0,,,2437.0,2437.0,,,,2462.0,5680.0,,,5680.0,,,,,5320.0,5320.0,,,,2412.0,5180.0,,,5180.0,,2412.0,,,,,,,,,,,,,,,,,
14.347,-89.0,,,-77.0,-84.0,,-92.0,,-87.0,,,-86.0,-93.0,,,-90.0,-90.0,-90.0,-79.0,,-84.0,-80.0,-89.0,-81.0,,,,,-83.0,,-86.0,-85.0,-75.0,-74.0,-87.0,,,-84.0,-87.0,-92.0,,,-89.0,-86.0,,-89.0,-85.0,-95.0,-91.0,,-90.0,-85.0,-87.0,-89.0,-88.0,-90.0,,-92.0,,-95.0,,,,,,-92.0,,-92.0,,,,,,,,,,-88.0,,,2437.0,,,2417.0,2452.0,,2412.0,,2462.0,,,2427.0,2437.0,,,5220.0,5220.0,2462.0,2462.0,,2412.0,2412.0,2462.0,2457.0,,,,,2412.0,,2462.0,5240.0,5520.0,5520.0,5240.0,,,2437.0,2437.0,2412.0,,,2462.0,5680.0,,5500.0,5680.0,2462.0,5500.0,,5500.0,5320.0,5320.0,5320.0,5320.0,5500.0,,5180.0,,2412.0,,,,,,2462.0,,2462.0,,,,,,,,,,2437.0,,
16.5754,,,,-77.0,,,-81.0,,-88.0,,,,-92.0,-88.0,,-90.0,-92.0,-90.0,-86.0,,-87.0,-78.0,-85.0,-86.0,-75.0,-79.0,-80.0,,-79.0,,-92.0,,-78.0,-78.0,,,,-86.0,,,-91.0,-94.0,-91.0,-86.0,,,-87.0,,,,-89.0,-90.0,-88.0,-89.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,-85.0,,,,,,2417.0,,,2412.0,,2462.0,,,,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,2412.0,2412.0,2462.0,2457.0,2437.0,2437.0,2437.0,,2412.0,,2462.0,,5520.0,5520.0,,,,2437.0,,,5240.0,5240.0,2462.0,5680.0,,,5680.0,,,,5500.0,5320.0,5320.0,5320.0,5320.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,,
20.48,,,,-76.0,-85.0,,-85.0,,-91.0,,,,-91.0,-87.0,,-90.0,-91.0,-91.0,-86.0,,-81.0,-82.0,,-88.0,-88.0,-88.0,-89.0,,-81.0,-87.0,-88.0,,-77.0,-77.0,,,,,,-89.0,-89.0,-89.0,,-87.0,,,-88.0,,,,,,,,,,,-91.0,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,2417.0,2452.0,,2412.0,,2462.0,,,,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,2412.0,2412.0,,2457.0,2437.0,2437.0,2437.0,,2412.0,2472.0,2462.0,,5520.0,5520.0,,,,,,2412.0,5240.0,5240.0,,5680.0,,,5680.0,,,,,,,,,,,5180.0,,,,,2412.0,,,,,,,,,,,,,,,,,
24.7678,-90.0,,,-79.0,,,,,,,,-92.0,-94.0,-90.0,,-91.0,,-89.0,-77.0,,-76.0,,,-87.0,-83.0,-79.0,-80.0,,,-87.0,-88.0,-85.0,-74.0,-74.0,-85.0,,,,-89.0,-91.0,-88.0,-88.0,,-86.0,-86.0,-86.0,-87.0,-90.0,-87.0,-87.0,-87.0,-86.0,-85.0,,-90.0,-86.0,,-93.0,,,,,,,,-91.0,,-91.0,,,,,,,,,,,,,2437.0,,,2417.0,,,,,,,,2427.0,2437.0,2422.0,,5220.0,,2462.0,2462.0,,2412.0,,,2457.0,2437.0,2437.0,2437.0,,,2472.0,2462.0,5240.0,5520.0,5520.0,5240.0,,,,2437.0,2412.0,5240.0,5240.0,,5680.0,5500.0,5500.0,5680.0,2462.0,5500.0,5500.0,5500.0,5320.0,5320.0,,5320.0,5500.0,,5180.0,,,,,,,,2462.0,,2462.0,,,,,,,,,,,,
28.4379,-87.0,,,,-83.0,,,,-86.0,,-91.0,-88.0,-89.0,-88.0,,-94.0,-92.0,-85.0,-81.0,,-81.0,-80.0,,-84.0,-78.0,-84.0,-86.0,,-83.0,-89.0,,-89.0,-81.0,-81.0,-88.0,,,,,-89.0,,,,-87.0,,,-87.0,,,,,,,,,,,-94.0,,,,,-88.0,,,,,,-90.0,,,,,,-93.0,,-94.0,,,,2437.0,,,,2452.0,,,,2462.0,,2462.0,2427.0,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,2412.0,2412.0,,2457.0,2437.0,2437.0,2437.0,,2412.0,2472.0,,5240.0,5520.0,5520.0,5240.0,,,,,2412.0,,,,5680.0,,,5680.0,,,,,,,,,,,5180.0,,,,,2412.0,,,,,,2412.0,,,,,,2462.0,,2437.0,,,
32.7456,-90.0,,,-80.0,-87.0,,,,-89.0,,,-92.0,-89.0,-87.0,-90.0,-94.0,-92.0,,-89.0,,-81.0,-79.0,,-81.0,-87.0,-87.0,-83.0,,-79.0,,-86.0,-89.0,-73.0,-73.0,-88.0,,,-89.0,-89.0,,-86.0,-86.0,,-86.0,,,-87.0,,,,,-87.0,,,-89.0,,-94.0,-90.0,,,-91.0,,,,,,,,,,,,,-88.0,,,,,,,2437.0,,,2417.0,2452.0,,,,2462.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2462.0,,2412.0,2412.0,,2457.0,2437.0,2437.0,2437.0,,2412.0,,2462.0,5240.0,5520.0,5520.0,5240.0,,,2437.0,2437.0,,5240.0,5240.0,,5680.0,,,5680.0,,,,,5320.0,,,5320.0,,2412.0,5180.0,,,5180.0,,,,,,,,,,,,,5260.0,,,,,,
36.6366,-91.0,,,,-90.0,,-90.0,,-91.0,,,-91.0,-87.0,-90.0,,-91.0,-89.0,-91.0,-89.0,,-81.0,-81.0,-93.0,-90.0,-76.0,-76.0,-83.0,,-80.0,,,-91.0,-77.0,-76.0,,,,-92.0,-86.0,-91.0,-93.0,-93.0,-92.0,-85.0,,,-86.0,,,,,-88.0,-87.0,,,,-92.0,,,,,,,,,,-92.0,,,,,,,-85.0,,,,,,,2437.0,,,,2452.0,,2412.0,,2462.0,,,2427.0,2437.0,2422.0,,5220.0,5220.0,2462.0,2462.0,,2412.0,2412.0,2462.0,2457.0,2437.0,2437.0,2437.0,,2412.0,,,5240.0,5520.0,5520.0,,,,2437.0,2437.0,2412.0,5240.0,5240.0,2462.0,5680.0,,,5680.0,,,,,5320.0,5320.0,,,,2412.0,,,,,,,,,,2432.0,,,,,,,5260.0,,,,,,
