AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:14,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:17,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:22,wifi_rssi_20:23:00:00:01:23,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:28,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:72,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:14,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:17,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:22,wifi_freq_20:23:00:00:01:23,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:72
2.477,,-76.0,,,,,,,,,,,,-86.0,,,,,-81.0,-84.0,,,,,,,,-76.0,-76.0,,,,,,,-86.0,-86.0,-85.0,,,-86.0,,,,,,,,,,,,,2417.0,,,,,,,,,,,,2462.0,,,,,2457.0,2437.0,,,,,,,,5520.0,5520.0,,,,,,,5240.0,5240.0,5680.0,,,5680.0,,,,,,,,,,,
6.4486,,-76.0,-85.0,,,,,,,,,,,,,-85.0,,,-83.0,,,-82.0,,,,,,-80.0,-80.0,,,,,,,-84.0,-84.0,,,,-86.0,,,,,,,,,,,,,2417.0,2452.0,,,,,,,,,,,,,2412.0,,,2457.0,,,2437.0,,,,,,5520.0,5520.0,,,,,,,5240.0,5240.0,,,,5680.0,,,,,,,,,,,
10.6175,,-79.0,,,,,-81.0,,,,,,,,,-85.0,-81.0,,-82.0,,-81.0,-82.0,,-84.0,,,,-77.0,-77.0,,,,,,,,,,,,,,,,,,,,,,,,,2417.0,,,,,2427.0,,,,,,,,,2412.0,2412.0,,2457.0,,2437.0,2437.0,,2412.0,,,,5520.0,5520.0,,,,,,,,,,,,,,,,,,,,,,,
14.347,,-77.0,-84.0,,,,,,,,,,,-79.0,,-84.0,-80.0,,-81.0,,,,,-83.0,,,,-75.0,-74.0,,,,-84.0,,,,,,,,,,,,,,,,,,,,,2417.0,2452.0,,,,,,,,,,,2462.0,,2412.0,2412.0,,2457.0,,,,,2412.0,,,,5520.0,5520.0,,,,2437.0,,,,,,,,,,,,,,,,,,,
16.5754,,-77.0,,-81.0,,,,,,,,,,,,,-78.0,-85.0,,-75.0,-79.0,-80.0,,-79.0,,,,-78.0,-78.0,,,,,,,,,,,,,,,,,,,,,,,,,2417.0,,2412.0,,,,,,,,,,,,,2412.0,2462.0,,2437.0,2437.0,2437.0,,2412.0,,,,5520.0,5520.0,,,,,,,,,,,,,,,,,,,,,,,
20.48,,-76.0,-85.0,-85.0,,,,,,,,,,-86.0,,-81.0,-82.0,,,,,,,-81.0,,,,-77.0,-77.0,,,,,,,,,-87.0,,,,,,,,,,,,,,,,2417.0,2452.0,2412.0,,,,,,,,,,2462.0,,2412.0,2412.0,,,,,,,2412.0,,,,5520.0,5520.0,,,,,,,,,5680.0,,,,,,,,,,,,,,
24.7678,,-79.0,,,,,,,,,,,,-77.0,,-76.0,,,,-83.0,-79.0,-80.0,,,,,-85.0,-74.0,-74.0,-85.0,,,,,,,,,,,,,,,,,,,,,,,,2417.0,,,,,,,,,,,,2462.0,,2412.0,,,,2437.0,2437.0,2437.0,,,,,5240.0,5520.0,5520.0,5240.0,,,,,,,,,,,,,,,,,,,,,,
28.4379,,,-83.0,,,,,,,,,,,-81.0,,-81.0,-80.0,,-84.0,-78.0,-84.0,,,-83.0,,,,-81.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,2452.0,,,,,,,,,,,2462.0,,2412.0,2412.0,,2457.0,2437.0,2437.0,,,2412.0,,,,5520.0,5520.0,,,,,,,,,,,,,,,,,,,,,,,
32.7456,,-80.0,,,,,,,,,,,,,,-81.0,-79.0,,-81.0,,,-83.0,,-79.0,,-86.0,,-73.0,-73.0,,,,,,,,,-86.0,,,,,,,,,,,,,,,,2417.0,,,,,,,,,,,,,,2412.0,2412.0,,2457.0,,,2437.0,,2412.0,,2462.0,,5520.0,5520.0,,,,,,,,,5680.0,,,,,,,,,,,,,,
36.6366,,,,,,,,,,,,,,,,-81.0,-81.0,,,-76.0,-76.0,-83.0,,-80.0,,,,-77.0,-76.0,,,,,,,,,-85.0,,,,,,,,,,,,,,-85.0,,,,,,,,,,,,,,,,2412.0,2412.0,,,2437.0,2437.0,2437.0,,2412.0,,,,5520.0,5520.0,,,,,,,,,5680.0,,,,,,,,,,,,,,5260.0
