AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0448,2558.6338,-1.13967,6.03836,6.58426,-0.05815,-0.34633,0.13078,-6.3,-29.5,-1.5
0.0465,2558.6538,-1.35516,6.11737,5.78696,-0.63297,-0.41597,0.31282,-6.7,-29.4,-1.8
0.0517,2558.6738,-0.86194,6.05752,6.4406,-1.13449,-0.4966,0.41544,-6.9,-29.3,-1.8
0.0618,2558.6938,-0.20112,5.854,7.70478,-0.83944,-0.81242,0.21447,-7.1,-29.2,-2.0
0.0792,2558.7138,-0.03113,5.83964,8.31292,-0.34098,-0.97247,0.03304,-7.6,-29.0,-2.1
0.1369,2558.7338,-0.12929,5.8971,8.4063,-0.08014,-1.30478,-0.08913,-8.0,-28.8,-2.5
0.138,2558.7538,-0.07901,5.86118,7.99927,-0.11129,-1.67496,-0.10074,-8.4,-28.7,-2.7
0.1633,2558.7738,-0.03113,5.8133,7.39592,-0.64824,-1.64442,-0.08058,-8.7,-28.6,-2.8
0.1659,2558.7938,-0.07422,5.66725,7.53957,-1.01171,-1.31089,0.05381,-9.1,-28.4,-2.9
0.1832,2558.8138,-0.08619,5.36796,7.89392,-1.02209,-1.24186,0.19553,-9.5,-28.3,-3.3
0.2033,2558.8338,0.33759,5.29374,8.32489,-1.00499,-1.23269,0.24929,-9.8,-28.2,-3.5
0.2245,2558.8538,0.9625,5.17882,9.05036,-0.58838,-1.09097,-0.0085,-10.0,-28.0,-3.8
0.2383,2558.8739,0.78532,4.9753,8.83727,-0.14367,-1.36159,-0.11051,-10.2,-27.9,-4.1
0.256,2558.8939,0.80687,4.92023,8.4063,-0.35991,-1.29928,0.27983,-10.5,-27.8,-4.3
0.2761,2558.9139,1.22587,4.76461,8.54996,-0.50652,-0.70307,0.36902,-10.5,-27.8,-4.3
0.298,2558.934,1.28094,4.68799,8.38475,-0.54439,-0.23821,0.29388,-10.5,-27.8,-4.4
0.3213,2558.954,1.15883,4.69517,7.9059,-0.81562,0.05318,0.48447,-10.7,-27.6,-4.4
0.3402,2558.974,1.06545,4.30251,7.76224,-1.15465,0.088,0.59565,-10.7,-27.6,-4.4
0.3577,2558.994,1.46769,4.36476,8.1956,-1.20046,-0.70124,0.77402,-10.8,-27.5,-4.5
0.3762,2559.0141,1.85796,3.98168,9.02163,-0.70994,-0.65054,0.57305,-10.9,-27.4,-4.6
0.4019,2559.0341,2.2985,3.82845,9.68245,0.03654,-0.08305,0.48019,-11.0,-27.4,-4.4
0.4224,2559.0541,2.50202,3.73267,9.71836,0.38901,0.78377,0.37818,-10.9,-27.3,-4.4
0.4363,2559.0742,2.5523,3.8045,9.09346,0.38473,1.18755,0.31221,-10.9,-27.2,-4.6
0.4561,2559.0942,2.52117,3.93379,8.42306,0.1129,0.98169,0.20775,-11.0,-27.1,-4.7
0.4781,2559.1142,2.50681,4.0128,8.34644,0.11168,0.53698,0.06236,-11.0,-26.9,-4.6
0.5045,2559.1342,2.33681,4.00562,8.37517,0.19231,0.33845,-0.03843,-11.0,-26.8,-4.7
0.518,2559.1543,2.20034,3.94816,8.44461,0.18254,0.45207,-0.02499,-11.0,-26.7,-4.8
0.5439,2559.1743,2.22428,3.96492,8.17405,0.06769,0.71169,-0.00667,-11.2,-26.5,-4.8
0.5597,2559.1943,2.25541,4.03675,8.08307,-0.13511,0.52232,-0.13861,-11.3,-26.4,-4.9
0.5783,2559.2144,1.94415,3.95295,8.41588,-0.10824,0.25476,-0.21314,-11.7,-26.1,-5.2
0.6042,2559.2344,1.47966,3.78774,8.68882,0.06525,0.17596,-0.06103,-12.1,-25.8,-5.4
0.6221,2559.2544,1.26657,3.73746,8.72234,0.14894,0.25721,0.1992,-12.1,-25.7,-5.6
0.6367,2559.2744,1.53952,3.87633,8.89473,0.21674,0.13503,0.18454,-12.4,-25.4,-5.9
0.6594,2559.2945,1.65205,4.01999,8.74389,0.36763,0.01103,0.02938,-12.5,-25.3,-6.0
0.6761,2559.3145,1.53234,4.0966,8.22433,0.16482,-0.03723,-0.06714,-12.7,-25.2,-6.2
0.6993,2559.3345,1.40783,4.10379,8.12617,-0.15283,-0.01952,-0.04271,-12.9,-25.0,-6.5
0.7189,2559.3546,1.35755,4.1397,8.24349,-0.286,0.1723,-0.04759,-13.2,-24.9,-6.7
0.7368,2559.3746,1.29291,4.14928,8.33926,-0.36236,0.40687,0.00677,-13.4,-24.8,-6.8
0.7661,2559.3947,1.18038,4.1397,8.47094,-0.31776,0.35555,0.05809,-13.5,-24.6,-7.0
0.7871,2559.4148,1.06066,4.12534,8.61939,-0.21514,0.23155,0.15766,-13.6,-24.5,-7.1
0.8053,2559.4348,1.10855,4.14928,8.76065,-0.06914,0.21017,0.3232,-13.7,-24.5,-7.2
0.8212,2559.4548,1.57064,4.31209,8.6984,0.04448,0.1442,0.20469,-13.7,-24.4,-7.3
0.8398,2559.4749,1.76219,4.42462,8.447,-0.01905,-0.06533,-0.01277,-13.6,-24.4,-7.4
0.8591,2559.4949,1.84599,4.47969,8.43742,-0.12839,-0.35733,-0.06042,-13.6,-24.4,-7.4
0.8771,2559.5149,1.81965,4.38631,8.67446,-0.11007,-0.65237,-0.10868,-13.6,-24.4,-7.5
0.9027,2559.5349,1.80768,4.34321,8.68882,-0.01905,-1.17405,-0.01949,-13.3,-24.5,-7.5
0.9189,2559.555,2.28414,4.38631,8.62418,-0.09235,-1.45016,-0.07875,-13.3,-24.6,-7.4
0.9423,2559.575,2.87552,4.54433,8.46376,-0.15161,-1.48681,-0.22658,-13.4,-24.7,-7.2
0.9587,2559.595,3.08383,4.74785,8.53798,-0.32754,-1.95046,-0.40434,-13.1,-24.8,-6.9
0.9945,2559.6151,2.87074,5.02798,9.29697,-0.11618,-3.04758,-0.42389,-13.2,-24.7,-6.7
1.0091,2559.6351,2.77257,5.11657,10.13257,0.60464,-5.16239,-0.22413,-13.1,-24.9,-6.5
1.0227,2559.6551,3.71113,5.45416,10.79818,1.64067,-7.37128,-0.1435,-13.1,-25.1,-6.2
1.0372,2559.6751,5.32726,5.92344,10.49411,2.81109,-8.86118,-0.53629,-13.4,-25.9,-2.8
1.0686,2559.6952,6.45257,6.21554,9.23951,3.51236,-10.61314,-1.41654,-13.8,-27.5,0.9
