AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:01:97,wifi_rssi_20:23:00:00:01:98,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:56,wifi_rssi_20:23:00:00:02:57,wifi_rssi_20:23:00:00:02:58,wifi_rssi_20:23:00:00:02:59,wifi_rssi_20:23:00:00:02:60,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:70,wifi_rssi_20:23:00:00:02:73,wifi_rssi_20:23:00:00:02:74,wifi_rssi_20:23:00:00:02:88,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:45,wifi_rssi_20:23:00:00:03:46,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:01:97,wifi_freq_20:23:00:00:01:98,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:56,wifi_freq_20:23:00:00:02:57,wifi_freq_20:23:00:00:02:58,wifi_freq_20:23:00:00:02:59,wifi_freq_20:23:00:00:02:60,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:70,wifi_freq_20:23:00:00:02:73,wifi_freq_20:23:00:00:02:74,wifi_freq_20:23:00:00:02:88,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:45,wifi_freq_20:23:00:00:03:46
1.2635,-78.0,-89.0,,,,,,-89.0,,,,,,,-94.0,,-75.0,-81.0,,,,,,,,-85.0,,,-89.0,,,-87.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,,,2427.0,,,,,,,2462.0,,2437.0,2437.0,,,,,,,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
3.7176,-70.0,-91.0,,-92.0,,,,,,,-85.0,,,,,,-77.0,-80.0,,,,,,,,,,,-92.0,,,-81.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,,,,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
5.6471,-75.0,-86.0,,-86.0,-93.0,,,-89.0,,,-91.0,,,,,,-80.0,-84.0,,,,,,-85.0,,-86.0,,,-85.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,2462.0,,,2427.0,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,,,,,,,,,,,,,,,,,,
7.6223,-76.0,-87.0,,-88.0,,,,-89.0,,,,,,,,,-77.0,-82.0,,,,,,-87.0,,-87.0,,,-84.0,,,-84.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,2427.0,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
9.6637,-80.0,,,,,,-92.0,,,,,,-93.0,,-69.0,,-83.0,-80.0,,,,,,-83.0,,-92.0,-91.0,,-92.0,,-92.0,-82.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,2462.0,,,,,,5220.0,,2462.0,,2437.0,2437.0,,,,,,2462.0,,2462.0,2412.0,,2462.0,,2412.0,5500.0,,,,,,,,,,,,,,,,,
11.6178,-80.0,-85.0,,-88.0,,,,,,,-92.0,,,,,,-84.0,-76.0,,,,,,-91.0,,-88.0,,,-78.0,,,-85.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
13.6613,-77.0,-88.0,,-85.0,,,,-91.0,,,-91.0,,,,,,-88.0,-72.0,,,,,,-89.0,,-90.0,-95.0,-90.0,-90.0,,,-84.0,,-94.0,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,2427.0,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,2462.0,2412.0,5500.0,2462.0,,,5500.0,,2437.0,,,,,,,,,,,,,,,
15.5951,-77.0,-86.0,,-87.0,,,,,,,-91.0,,,,,-91.0,-78.0,-74.0,,,,,,-86.0,,-86.0,,,-87.0,,,-86.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,,,,2437.0,,,,,2452.0,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,
17.659,-76.0,,,,,,,-93.0,,,-93.0,,,,,,-81.0,-81.0,,,,,,-86.0,,,,,,,,-82.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,2427.0,,,2437.0,,,,,,2437.0,2437.0,,,,,,2462.0,,,,,,,,5500.0,,,,,,,,,,,,,,,,,
19.663,-81.0,-86.0,,,-92.0,,,-89.0,,,,,,,,-91.0,-77.0,-75.0,,,,,,-82.0,,-81.0,,,-82.0,-93.0,-94.0,-86.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,2462.0,,,2427.0,,,,,,,,2452.0,2437.0,2437.0,,,,,,2462.0,,2462.0,,,2462.0,2412.0,2412.0,5500.0,,,,,,,,,,,,,,,,,
