AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:95,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:01:98,wifi_rssi_20:23:00:00:02:07,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:56,wifi_rssi_20:23:00:00:02:57,wifi_rssi_20:23:00:00:02:58,wifi_rssi_20:23:00:00:02:59,wifi_rssi_20:23:00:00:02:60,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:65,wifi_rssi_20:23:00:00:02:70,wifi_rssi_20:23:00:00:02:73,wifi_rssi_20:23:00:00:02:74,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:17,wifi_rssi_20:23:00:00:03:20,wifi_rssi_20:23:00:00:03:21,wifi_rssi_20:23:00:00:03:29,wifi_rssi_20:23:00:00:03:46,wifi_rssi_20:23:00:00:03:47,wifi_rssi_20:23:00:00:03:48,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:95,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:01:98,wifi_freq_20:23:00:00:02:07,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:56,wifi_freq_20:23:00:00:02:57,wifi_freq_20:23:00:00:02:58,wifi_freq_20:23:00:00:02:59,wifi_freq_20:23:00:00:02:60,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:65,wifi_freq_20:23:00:00:02:70,wifi_freq_20:23:00:00:02:73,wifi_freq_20:23:00:00:02:74,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:17,wifi_freq_20:23:00:00:03:20,wifi_freq_20:23:00:00:03:21,wifi_freq_20:23:00:00:03:29,wifi_freq_20:23:00:00:03:46,wifi_freq_20:23:00:00:03:47,wifi_freq_20:23:00:00:03:48
1.5132,-70.0,,,-89.0,,-85.0,,,-82.0,,,,,,,-91.0,,-74.0,,,-74.0,,,,,,,,-73.0,-73.0,,,-72.0,,,-84.0,,,,,,,,,,,,,,,,-90.0,,,,,,,,2437.0,,,2452.0,,2462.0,,,2427.0,,,,,,,2462.0,,2437.0,,,2437.0,,,,,,,,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,2462.0,,,,,,,
5.3622,-74.0,-89.0,,-85.0,,,,-86.0,,,,,,,-89.0,,,-73.0,,,-74.0,,,,,,,,-74.0,-75.0,-86.0,,-76.0,,,-80.0,,,,,,,,,,,,,,,,-87.0,,,,,,,,2437.0,5200.0,,2452.0,,,,2462.0,,,,,,,2462.0,,,2437.0,,,2437.0,,,,,,,,2462.0,2462.0,2412.0,,2462.0,,,5500.0,,,,,,,,,,,,,,,,2462.0,,,,,,,
9.5069,-74.0,-85.0,,-89.0,,,,-86.0,,,,,,,,,,-73.0,,,-74.0,,,,,-91.0,,,-74.0,-73.0,-85.0,-92.0,-80.0,,-83.0,-80.0,,,,,,,,,,,-92.0,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,2462.0,,,,,,,,,,2437.0,,,2437.0,,,,,2462.0,,,2462.0,2462.0,2412.0,5500.0,2462.0,,2412.0,5500.0,,,,,,,,,,,5500.0,,,,,,,,,,,,
13.5016,-70.0,-85.0,,,,-90.0,-91.0,,-81.0,,,-87.0,,,,-89.0,,-70.0,,,-73.0,,,,,,,,-78.0,-77.0,,,-79.0,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,,2462.0,2412.0,,2427.0,,,2437.0,,,,2462.0,,2437.0,,,2437.0,,,,,,,,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
17.524,,-84.0,,,-90.0,,,-85.0,,,,-83.0,,,-91.0,-86.0,,-73.0,,,-71.0,,-86.0,,,-86.0,,,-81.0,-74.0,,,-75.0,,,-85.0,,,,,,,,,-86.0,-92.0,,,,,,,,,,,,,,,5200.0,,,2412.0,,,2462.0,,,,2437.0,,,2462.0,2462.0,,2437.0,,,2437.0,,5500.0,,,2462.0,,,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,,,,5500.0,5500.0,,,,,,,,,,,,,
21.3392,-70.0,-84.0,,-81.0,,-84.0,,,,,,-86.0,,,-85.0,-90.0,,-75.0,,,-73.0,,,,,,,,-82.0,,,,-82.0,,,-79.0,,,,,,,,,,,,,,,,,,,,,,-93.0,,2437.0,5200.0,,2452.0,,2462.0,,,,,,2437.0,,,2462.0,2462.0,,2437.0,,,2437.0,,,,,,,,2462.0,,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,5500.0,
25.5271,-76.0,,,,,-86.0,,,,,,,,,-87.0,-87.0,,-75.0,,,-70.0,-90.0,,,,,-89.0,,-89.0,,,,,,,-83.0,,,,,,,,,,,,-91.0,,,,,,,,,,,,2437.0,,,,,2462.0,,,,,,,,,2462.0,2462.0,,2437.0,,,2437.0,2462.0,,,,,2462.0,,2462.0,,,,,,,5500.0,,,,,,,,,,,,2412.0,,,,,,,,,,,
29.4812,-72.0,,,,,-86.0,,,,,,,,,,,,-75.0,,,-67.0,-90.0,,-95.0,,,,,-82.0,-82.0,,,-82.0,,,-79.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,2462.0,,,,,,,,,,,,2437.0,,,2437.0,2462.0,,2412.0,,,,,2462.0,2462.0,,,2462.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,
33.5169,-74.0,-86.0,,-88.0,,,,,,,,,,,,-88.0,,,,,-72.0,,,,,-88.0,-88.0,-85.0,,,,,,,,-81.0,,,,,,,,,,,,-90.0,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,,,,,,,,,2462.0,,,,,2437.0,,,,,2462.0,2462.0,2412.0,,,,,,,,5500.0,,,,,,,,,,,,2412.0,,,,,,,,,,,
37.5061,-69.0,-82.0,,,,,,,-90.0,,,,,,-85.0,-85.0,,-81.0,,,-68.0,-85.0,,,,-84.0,,,-81.0,-80.0,,,,,,-81.0,,,,,,,,,,,-86.0,,,,,,,,,,,,,2437.0,5200.0,,,,,,,2427.0,,,,,,2462.0,2462.0,,2437.0,,,2437.0,2462.0,,,,2462.0,,,2462.0,2462.0,,,,,,5500.0,,,,,,,,,,,5500.0,,,,,,,,,,,,
