AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:95,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:65,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:95,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:65,wifi_freq_20:23:00:00:03:11
1.5132,-70.0,,,,,,,,,,,,,,-74.0,-74.0,,,,,,-73.0,-73.0,,-72.0,,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,2462.0,,,,,
5.3622,-74.0,,,,,,,,,,,,,,-73.0,-74.0,,,,,,-74.0,-75.0,,-76.0,,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,2462.0,,,,,
9.5069,-74.0,,,,,,,,,,,,,,-73.0,-74.0,,,,,,-74.0,-73.0,,,-80.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,,5500.0,,,,
13.5016,-70.0,,,,,,,,,,,,,,-70.0,-73.0,,,,,,-78.0,-77.0,,-79.0,,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,2462.0,,,,,
17.524,,,,,,,,,,-83.0,,,,,-73.0,-71.0,,,,,,-81.0,-74.0,,-75.0,,,,,,,,,,,,,,,2437.0,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,2462.0,,,,,
21.3392,-70.0,,,-81.0,,,,,,,,,,,-75.0,-73.0,,,,,,,,,-82.0,-79.0,,,,,2437.0,,,2452.0,,,,,,,,,,,2437.0,2437.0,,,,,,,,,2462.0,5500.0,,,,
25.5271,-76.0,,,,-86.0,,,,,,,,-87.0,,-75.0,-70.0,,,,,,,,,,-83.0,,,,,2437.0,,,,2462.0,,,,,,,,2462.0,,2437.0,2437.0,,,,,,,,,,5500.0,,,,
29.4812,-72.0,,,,,,,,,,,,,,-75.0,-67.0,,,,,,-82.0,,,-82.0,-79.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,,,2462.0,5500.0,,,,
33.5169,-74.0,-86.0,,,,,,,,,,,-88.0,,,-72.0,,,,,-85.0,,,,,-81.0,,,,,2437.0,5200.0,,,,,,,,,,,2462.0,,,2437.0,,,,,2412.0,,,,,5500.0,,,,
37.5061,-69.0,,,,,,,,,,,,,,-81.0,-68.0,,,,,,-81.0,-80.0,,,-81.0,,,,,2437.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,2462.0,2462.0,,,5500.0,,,,
