AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:03:25
2.7321,-44.0,,,,,-58.0,,-55.0,,,,,-91.0,,,-57.0,-56.0,-79.0,-62.0,,,-63.0,-63.0,-63.0,-60.0,-72.0,,-86.0,,,,,,,,,,,,2437.0,,,,,5200.0,,2452.0,,,,,2462.0,,,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,
6.7586,-47.0,,,,,-64.0,,-61.0,,-80.0,,,,,,-53.0,-59.0,-82.0,-57.0,-84.0,,-68.0,-59.0,-59.0,-54.0,-71.0,,,,,,,,,,,,,,2437.0,,,,,5200.0,,2452.0,,2412.0,,,,,,2462.0,2412.0,2462.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,
10.7566,-46.0,,,,,-56.0,-79.0,-57.0,,,-89.0,,-87.0,,,-56.0,-67.0,-78.0,-57.0,,,-74.0,-65.0,-65.0,-55.0,-70.0,-89.0,,,,,,,,,,,,-84.0,2437.0,,,,,5200.0,2417.0,2452.0,,,2462.0,,2462.0,,,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,2452.0,,,,,,,,,,,,2437.0
14.745,-48.0,,-87.0,,,-56.0,,-54.0,,,,,,,-83.0,-61.0,-59.0,,-59.0,,,-64.0,-61.0,-61.0,-59.0,-76.0,,-85.0,,,,,,,,,,,,2437.0,,5200.0,,,5200.0,,2452.0,,,,,,,2457.0,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,
18.7545,-42.0,,,,,-59.0,,-58.0,,,,-91.0,,-89.0,,-54.0,-56.0,,-58.0,,,,-63.0,-63.0,-55.0,-73.0,,,,,,,,,,,,,,2437.0,,,,,5200.0,,2452.0,,,,2462.0,,2412.0,,2462.0,2412.0,,2427.0,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,
22.7844,-46.0,,-84.0,,,-55.0,,-54.0,,,-89.0,,,,-87.0,-58.0,-56.0,-78.0,-55.0,,,-63.0,-68.0,-68.0,-57.0,-75.0,,,,,,,,,,,,,-81.0,2437.0,,5200.0,,,5200.0,,2452.0,,,2462.0,,,,2457.0,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,2437.0
26.7623,-44.0,,,,,-55.0,,-50.0,,,,,,,,-57.0,-59.0,-77.0,-63.0,,,-62.0,-65.0,-66.0,-56.0,-75.0,,-81.0,,,,,,,,,,,-77.0,2437.0,,,,,5200.0,,2452.0,,,,,,,,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,2437.0
30.7701,-45.0,,,,,-52.0,,-62.0,-80.0,,,,,,,-53.0,-62.0,,-57.0,,,-62.0,-61.0,-61.0,-54.0,-71.0,,-80.0,,,,,,,,,,,,2437.0,,,,,5200.0,,2452.0,2462.0,,,,,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,
34.7609,-45.0,-85.0,-88.0,,,-54.0,-80.0,-56.0,-83.0,,,,,,,-52.0,-62.0,-83.0,-57.0,-84.0,,-61.0,-61.0,-61.0,-53.0,-68.0,,-82.0,,,,,,,,,,,,2437.0,2437.0,5200.0,,,5200.0,2417.0,2452.0,2462.0,,,,,,,2462.0,2412.0,2462.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,
38.7565,-49.0,,-87.0,,,-58.0,,-56.0,,-79.0,,,,,-84.0,-57.0,-61.0,-81.0,-57.0,,,-65.0,-63.0,-62.0,-62.0,-70.0,,-80.0,,,,,,,,,,,,2437.0,,5200.0,,,5200.0,,2452.0,,2412.0,,,,,2457.0,2462.0,2412.0,2462.0,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,
