AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:08,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:18,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:23,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:35,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:49,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:52,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:56,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:71,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:84,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:02:34,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:31,wifi_rssi_20:23:00:00:03:32,wifi_rssi_20:23:00:00:03:33,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:08,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:18,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:23,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:35,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:49,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:52,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:56,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:71,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:84,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:02:34,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:31,wifi_freq_20:23:00:00:03:32,wifi_freq_20:23:00:00:03:33
1.2121,-53.0,-81.0,-90.0,-85.0,-84.0,-85.0,,,-63.0,-82.0,-86.0,-86.0,-69.0,-86.0,-86.0,,,-86.0,-86.0,,-85.0,,-83.0,-85.0,-83.0,,,,-78.0,-70.0,-63.0,,,,,,-62.0,,-88.0,,,,-78.0,-68.0,-68.0,-70.0,,,,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,2462.0,,,5200.0,2417.0,5500.0,5500.0,2452.0,5500.0,5500.0,,,5500.0,5500.0,,2462.0,,2412.0,2412.0,2412.0,,,,2457.0,2462.0,2412.0,,,,,,2427.0,,2412.0,,,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,
5.0425,-52.0,,,-85.0,-84.0,,-86.0,,,-82.0,,,-61.0,,,,,,,,,-79.0,,,,,,,-81.0,-63.0,-63.0,-82.0,-90.0,,,,-62.0,,,,,,-78.0,-68.0,-69.0,-63.0,,,,,,,,,,,2437.0,,,5500.0,5500.0,,2462.0,,,2417.0,,,2452.0,,,,,,,,,2412.0,,,,,,,2457.0,2462.0,2412.0,2462.0,2462.0,,,,2427.0,,,,,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,
9.0206,-60.0,,,,,-85.0,-87.0,-93.0,,-82.0,,,-64.0,,,,-87.0,,,,-81.0,,-80.0,-84.0,,,,,-82.0,-66.0,-71.0,,,,,,-62.0,,,,-88.0,,-81.0,-70.0,-70.0,-65.0,,-87.0,-89.0,,,,,,,,2437.0,,,,,2462.0,2462.0,2437.0,,2417.0,,,2452.0,,,,5260.0,,,,2462.0,,2412.0,2412.0,,,,,2457.0,2462.0,2412.0,,,,,,2427.0,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,,2462.0,2452.0,,,,,,,
13.0561,-65.0,,,,-85.0,,,,-71.0,,-86.0,,-54.0,,,,,,,,,,,,,-89.0,,,-80.0,-69.0,-68.0,,,,,,-66.0,,,,-86.0,,-75.0,-75.0,-75.0,-66.0,,,,,,,,,,,2437.0,,,,5500.0,,,,5200.0,,5500.0,,2452.0,,,,,,,,,,,,,2412.0,,,2457.0,2462.0,2412.0,,,,,,2427.0,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,
17.0264,-57.0,,,-86.0,-85.0,,,,,-81.0,,,-56.0,,,,,,,,,,,,,-88.0,,,-82.0,-72.0,-64.0,-85.0,,,,,-66.0,,,,,,-75.0,-75.0,-74.0,-72.0,,-86.0,,-86.0,,,,,,,2437.0,,,5500.0,5500.0,,,,,2417.0,,,2452.0,,,,,,,,,,,,,2412.0,,,2457.0,2462.0,2412.0,2462.0,,,,,2427.0,,,,,,2437.0,5200.0,5200.0,2462.0,,2462.0,,2437.0,,,,,,
21.04,-52.0,,,-85.0,-85.0,,,,-61.0,,,,-64.0,,,,,,,,,,,,,,,,,-66.0,-61.0,,,,,,-57.0,,,,,,-71.0,-68.0,-67.0,-68.0,,,,,,,,,,,2437.0,,,5500.0,5500.0,,,,5200.0,,,,2452.0,,,,,,,,,,,,,,,,,2462.0,2412.0,,,,,,2427.0,,,,,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,
25.0169,-60.0,-90.0,-87.0,-86.0,,,-90.0,,-61.0,,,,-61.0,,,,,,,,,-78.0,-87.0,,,,,,-87.0,-67.0,-65.0,,,,,,-63.0,,,,-87.0,,-78.0,-69.0,-69.0,-69.0,,,-88.0,,,,,,,,2437.0,2437.0,5200.0,5500.0,,,2462.0,,5200.0,,,,2452.0,,,,,,,,,2412.0,2412.0,,,,,,2457.0,2462.0,2412.0,,,,,,2427.0,,,,2422.0,,2437.0,5200.0,5200.0,2462.0,,,2452.0,,,,,,,
29.0236,-54.0,-80.0,-87.0,-86.0,-84.0,-83.0,,,-67.0,-87.0,,,-63.0,,,,,,,,,-76.0,,,,,,,-87.0,-72.0,-63.0,,,,-90.0,,-59.0,,,-86.0,-87.0,,-72.0,-70.0,-70.0,-74.0,,-82.0,,,,,-85.0,,,,2437.0,2437.0,5200.0,5500.0,5500.0,2462.0,,,5200.0,2417.0,,,2452.0,,,,,,,,,2412.0,,,,,,,2457.0,2462.0,2412.0,,,,2462.0,,2427.0,,,2437.0,2422.0,,2437.0,5200.0,5200.0,2462.0,,2462.0,,,,,2437.0,,,
33.0549,-50.0,-84.0,-90.0,-84.0,-84.0,,,,-65.0,-77.0,-87.0,,-62.0,-94.0,-92.0,,,,,,,,,-88.0,,,,,,-64.0,-65.0,-87.0,-84.0,,-85.0,-84.0,-62.0,,,-87.0,-84.0,,-76.0,-70.0,-71.0,-64.0,,-79.0,-91.0,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,,5200.0,2417.0,5500.0,,2452.0,5500.0,5500.0,,,,,,,,,2412.0,,,,,,2462.0,2412.0,2462.0,2462.0,,2462.0,2462.0,2427.0,,,2437.0,2422.0,,2437.0,5200.0,5200.0,2462.0,,2462.0,2452.0,,,,,,,
37.0424,-54.0,-80.0,,-85.0,-88.0,-87.0,,,-67.0,-81.0,,,-62.0,,,,,,,,,,-84.0,,-84.0,-87.0,,,-86.0,-68.0,-64.0,-85.0,,,,,-62.0,,,-85.0,,,-73.0,-68.0,-68.0,-68.0,,-80.0,,,,,,,,,2437.0,2437.0,,5500.0,5500.0,2462.0,,,5200.0,2417.0,,,2452.0,,,,,,,,,,2412.0,,2412.0,2412.0,,,2457.0,2462.0,2412.0,2462.0,,,,,2427.0,,,2437.0,,,2437.0,5200.0,5200.0,2462.0,,2462.0,,,,,,,,
