AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z
0.0437,6911.0146,-1.34319,6.37595,7.77421
0.0452,6911.0346,-1.51079,6.78298,8.03758
0.0505,6911.0546,-1.89866,7.37916,8.18124
0.0786,6911.0746,-2.36554,7.9873,8.01603
0.1134,6911.0946,-2.90186,8.33447,8.27461
0.1137,6911.1146,-3.69437,8.47094,9.10064
0.1379,6911.1346,-4.49405,8.3656,9.81892
0.1516,6911.1546,-4.94418,8.20279,10.07032
0.1688,6911.1746,-5.46374,8.06871,9.93624
0.2034,6911.1946,-6.26821,7.98491,9.82131
0.2085,6911.2146,-6.86678,7.70238,9.87638
0.2659,6911.2346,-6.74707,7.26184,10.0368
0.2741,6911.2546,-6.16526,6.51961,10.07032
0.2768,6911.2746,-5.16684,5.25543,11.43985
0.2883,6911.2946,-4.6856,3.98407,12.34009
0.3096,6911.3146,-4.31688,2.842,11.51167
0.3276,6911.3346,-3.58423,2.05908,9.9961
0.3474,6911.3545,-2.27456,1.57304,8.39193
0.3696,6911.3745,-0.80208,1.2546,6.71834
0.3914,6911.3945,0.14366,1.12052,5.74147
0.4084,6911.4145,0.46688,1.06545,5.82288
0.4304,6911.4345,0.66082,0.67997,6.0623
0.4483,6911.4545,0.83321,0.13647,6.08864
0.4719,6911.4745,1.53952,0.02634,5.77739
0.4977,6911.4945,2.87313,0.17239,5.5212
0.5158,6911.5145,4.31927,0.57941,5.03516
0.5379,6911.5345,5.25064,1.12291,4.80292
0.5509,6911.5545,5.38472,1.75021,5.06868
0.5686,6911.5745,5.2291,2.42061,6.024
0.5886,6911.5945,5.61697,3.31607,7.27381
0.6098,6911.6145,6.29215,4.24505,7.88674
0.6279,6911.6345,6.51722,4.84362,8.06631
0.6488,6911.6545,6.24427,5.16684,8.5332
0.6747,6911.6745,6.03597,5.38233,9.54597
0.6947,6911.6945,5.83485,5.95217,10.58509
0.7103,6911.7145,5.85879,6.53637,11.17887
0.731,6911.7345,6.05991,6.96495,11.27943
0.7486,6911.7545,6.19159,7.2331,11.35126
0.7813,6911.7744,6.00724,7.24508,11.5835
0.8034,6911.7944,5.41346,7.19719,11.98813
0.8124,6911.8144,5.00643,7.17804,12.36882
0.8299,6911.8345,4.85559,7.25705,12.57713
0.855,6911.8545,4.66165,7.28099,12.55558
0.8725,6911.8745,4.3073,7.11818,12.57473
0.8913,6911.8946,3.91225,6.69918,12.49811
0.9127,6911.9146,3.48128,6.28258,12.3808
0.9303,6911.9346,3.10537,5.83964,12.33291
0.9505,6911.9546,2.71032,5.34642,11.94264
0.9721,6911.9747,2.23146,4.74545,11.07592
0.9944,6911.9947,1.59698,4.10379,10.16609
1.0182,6912.0147,1.03912,3.44297,9.29457
1.0325,6912.0348,0.78532,2.61215,8.64812
1.0585,6912.0548,0.01437,2.20273,8.25307
1.0741,6912.0748,-0.38069,1.91542,7.66168
1.0952,6912.0948,-0.63448,1.68318,6.76622
1.1125,6912.1149,-1.12052,1.54191,5.44698
1.1349,6912.1349,-2.01119,1.53952,4.21392
1.1572,6912.1549,-2.81806,1.5036,3.68479
1.18,6912.175,-3.41663,1.62811,3.89309
1.2006,6912.195,-4.01041,1.85077,4.16604
1.2188,6912.215,-4.79334,1.9657,4.06787
1.2305,6912.235,-5.62415,2.0064,4.03196
1.2561,6912.2551,-6.49088,2.11654,4.28336
1.2802,6912.2751,-7.34803,2.15485,4.79813
1.3117,6912.2951,-7.97533,2.06865,5.3967
