AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:67,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:67,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:03:11
0.2237,-60.0,,,,,,-66.0,,,-71.0,,,,,,,-85.0,,,,,,,-75.0,,,-81.0,,,,-87.0,-72.0,-72.0,-79.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
2.2035,-61.0,,,-87.0,,,,,,-72.0,,-87.0,,-87.0,,,,,,,,,-75.0,-77.0,,,-73.0,,,,,-76.0,-76.0,,,,2437.0,,,5500.0,,,,,,2452.0,,5500.0,,5500.0,,,,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,,,
4.3775,-66.0,-86.0,,,,,-71.0,,,-72.0,,,,,,,-79.0,,,,,,,-79.0,,,-75.0,,,,-86.0,-70.0,-70.0,,,,2437.0,2437.0,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,,,
6.5008,-64.0,-84.0,,,,,-63.0,,,-79.0,,,,,,,,,,,,,-80.0,-73.0,,,-64.0,,,,,-71.0,-71.0,-77.0,,,2437.0,2437.0,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
10.382,-66.0,,,,,,-71.0,,,-71.0,,,,,,,,,,,,,-72.0,-77.0,,,-80.0,,,,-84.0,-78.0,-77.0,-72.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
12.4047,-56.0,,,,,,-72.0,,,-64.0,,,,,,,-86.0,,,,,,-72.0,-79.0,,,-68.0,,,,-85.0,-76.0,-76.0,,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,,,
14.2251,-64.0,,,,,,-71.0,,,-67.0,,,,,,,,,,,,,-73.0,-77.0,,,-75.0,,,,-81.0,-81.0,-80.0,-68.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
16.3946,-62.0,,,,,,-67.0,,,-76.0,,,,,,,-84.0,,,,,,-80.0,-77.0,,,-76.0,,,,-82.0,-73.0,-73.0,,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,,,
18.2522,-61.0,,,,,,-70.0,,,-65.0,,,,,,,-79.0,,,,,,,-76.0,,,-76.0,,,,-84.0,-74.0,-74.0,-75.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
20.227,-61.0,,,,,,-72.0,,,-75.0,,,,,,,,,,,,,-78.0,-73.0,-89.0,,-71.0,,,,,-68.0,-67.0,-79.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,2462.0,,2427.0,,,,,5220.0,5220.0,2462.0,,
22.2861,-62.0,,,,,,-71.0,,,-75.0,,,,,,,,,,,,,-74.0,-73.0,,,-79.0,,,,-83.0,-77.0,-77.0,-80.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
24.2888,-58.0,-81.0,,,,,-67.0,,,-75.0,,,,,,,,,,,,,-75.0,-77.0,,,-75.0,,,,,-72.0,-72.0,-75.0,,,2437.0,2437.0,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
26.3376,-62.0,-83.0,,,,,-65.0,,,-73.0,,,,,,,,,,,,,-72.0,-77.0,,,-75.0,,,,,-67.0,-66.0,-69.0,,,2437.0,2437.0,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
28.3903,-57.0,,,,,,-71.0,,,-70.0,,,,,,,,,,,,,-77.0,-79.0,,,-74.0,,,,-82.0,-71.0,-71.0,-77.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
30.1986,-65.0,,,,,,-69.0,,,-72.0,,,,,,,-79.0,,,,,,-78.0,-76.0,,,-74.0,,,,,-73.0,-73.0,-83.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
32.3838,-62.0,,,,,,-71.0,,,-72.0,,,-85.0,,,,,,,,,-85.0,,-81.0,,,-76.0,,,,,-74.0,-74.0,,,-83.0,2437.0,,,,,,5200.0,,,2452.0,,,5260.0,,,,,,,,,2457.0,,2412.0,,,2427.0,,,,,5220.0,5220.0,,,2462.0
34.3876,-68.0,,,,,,-65.0,,,-67.0,,,,,,,,,,,,,-80.0,-76.0,,,-68.0,,,,-83.0,-68.0,-68.0,-79.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
36.369,-63.0,,,,,,-67.0,,,-69.0,,,,,,,-81.0,,,,,,-74.0,,,,-85.0,,,,-84.0,-72.0,-72.0,-82.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
38.2313,-63.0,,,,,,-67.0,,,-72.0,,,,,,,,,,,,,-78.0,-80.0,,,-74.0,,,,-79.0,-75.0,-75.0,-79.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
40.2288,-60.0,,,,,,,,,-73.0,,,,,,,-81.0,,,,,,-79.0,-79.0,,,-70.0,,,,-80.0,-73.0,-72.0,,,-84.0,2437.0,,,,,,,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,,,2462.0
42.1771,-61.0,,,,,,-68.0,,,-74.0,,,,,,,-84.0,,,,,-86.0,,-73.0,,,-73.0,,,,,-71.0,-71.0,-75.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,2457.0,,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
44.2675,-62.0,,,,,,-68.0,,,-71.0,,,,,,,-80.0,,,,,,-76.0,-75.0,,,-73.0,,,,,-71.0,-71.0,-76.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
46.3467,-63.0,,,,,,-70.0,,,-69.0,,,,,,,-79.0,,,,,,-81.0,-72.0,,,-72.0,,,,,-71.0,-71.0,-81.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
48.2123,-59.0,-77.0,,,,,-72.0,,,-71.0,,,,,,,,,,,,,-73.0,-72.0,,,-75.0,,,,,-70.0,-70.0,-74.0,,,2437.0,2437.0,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
50.3209,-64.0,,,,,,-74.0,,,-73.0,,,,,,,-81.0,,,,,,-79.0,-72.0,,,-78.0,,,,,-70.0,-70.0,-81.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
52.2257,-65.0,,,,,,-69.0,,,-69.0,,,,,,,,,,,,,-77.0,-73.0,,,-77.0,,,,-81.0,-72.0,-72.0,-77.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
54.375,-61.0,,,,,,-72.0,,,-73.0,,,,,,,-76.0,,,,,,-74.0,-78.0,,,-76.0,,,,,-68.0,-68.0,-75.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
56.4396,-67.0,,,,,,-68.0,,,-77.0,,,,,,,,,,,,,-75.0,-73.0,,,-72.0,,,,-76.0,-71.0,-71.0,-70.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
58.2992,-62.0,,,,,,-70.0,,,-69.0,,,,,,,,,,,,,-78.0,-72.0,,,-69.0,,,,-85.0,-72.0,-72.0,-78.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
60.3953,-60.0,,,,,,-66.0,,,-78.0,,,,,,,,,,,,,-74.0,-73.0,,,-73.0,,,,-84.0,-71.0,-71.0,-76.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,,
62.2692,-62.0,,,,,,-66.0,,,-78.0,,,,,,,-82.0,,,,,,-76.0,-72.0,,,-75.0,,,,,-71.0,-71.0,-80.0,,,2437.0,,,,,,5200.0,,,2452.0,,,,,,,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,
64.3793,-69.0,-82.0,,,,,-70.0,,,-75.0,,,,,,,,,-79.0,,,,-81.0,,,,-78.0,,,,,-75.0,-76.0,-78.0,,,2437.0,2437.0,,,,,5200.0,,,2452.0,,,,,,,,,2412.0,,,,2462.0,,,,2427.0,,,,,5220.0,5220.0,2462.0,,
66.2355,,,,,,,,,,-80.0,,,,,,-84.0,,,,,,,-81.0,-85.0,,,-84.0,,,,-86.0,-75.0,-76.0,-83.0,-88.0,,,,,,,,,,,2452.0,,,,,,2462.0,,,,,,,2462.0,2412.0,,,2427.0,,,,2437.0,5220.0,5220.0,2462.0,2437.0,
68.4615,-71.0,,,,,,-74.0,-84.0,,-77.0,,,,,,,-82.0,,,,,,-85.0,,,,-83.0,,,,,-78.0,-78.0,-82.0,,,2437.0,,,,,,5200.0,2417.0,,2452.0,,,,,,,2412.0,,,,,,2462.0,,,,2427.0,,,,,5220.0,5220.0,2462.0,,
72.2925,-64.0,-85.0,,,,,,-80.0,,-79.0,,,,,,-83.0,-81.0,,,,,,,,,,-76.0,,-81.0,,,-83.0,-83.0,,,,2437.0,2437.0,,,,,,2417.0,,2452.0,,,,,,2462.0,2412.0,,,,,,,,,,2427.0,,2412.0,,,5220.0,5220.0,,,
74.2303,-74.0,,-86.0,,,,-81.0,-75.0,,-81.0,,,,,,,-83.0,,,,,,-84.0,,,,-82.0,,,,,,-85.0,-85.0,,,2437.0,,5200.0,,,,5200.0,2417.0,,2452.0,,,,,,,2412.0,,,,,,2462.0,,,,2427.0,,,,,,5220.0,2462.0,,
76.2089,-74.0,,,,,,-84.0,,,-77.0,,,,,,-82.0,-84.0,,,,,,,,,,-82.0,,,,,-83.0,-81.0,-80.0,-86.0,,2437.0,,,,,,5200.0,,,2452.0,,,,,,2462.0,2412.0,,,,,,,,,,2427.0,,,,,5220.0,5220.0,2462.0,2437.0,
78.1747,-68.0,,-86.0,,,,,,,-80.0,,,,,,-86.0,-82.0,,,-85.0,,,-86.0,,,,-78.0,,,,,-83.0,-83.0,,,,2437.0,,5200.0,,,,,,,2452.0,,,,,,2462.0,2412.0,,,2412.0,,,2462.0,,,,2427.0,,,,,5220.0,5220.0,,,
80.2307,-63.0,,,,,,-76.0,-85.0,,-76.0,,,,,,-84.0,,,,,,,-82.0,,,,-83.0,,,,,-81.0,-85.0,-85.0,,,2437.0,,,,,,5200.0,2417.0,,2452.0,,,,,,2462.0,,,,,,,2462.0,,,,2427.0,,,,,5220.0,5220.0,2462.0,,
82.2088,-71.0,,-88.0,,,,,,,-86.0,,,,,,-82.0,-77.0,,,,,,-85.0,-86.0,,,-88.0,,,,,-81.0,-84.0,,,,2437.0,,5200.0,,,,,,,2452.0,,,,,,2462.0,2412.0,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,,,
84.253,-76.0,,,,,,-81.0,,,-80.0,,,,,,,,,,,,,-83.0,-87.0,,,-87.0,,,,,-84.0,-87.0,-84.0,,-87.0,2437.0,,,,,,5200.0,,,2452.0,,,,,,,,,,,,,2462.0,2412.0,,,2427.0,,,,,5220.0,5220.0,2462.0,,2462.0
86.2452,-78.0,,,,,,-83.0,-83.0,,-87.0,,,,,,-78.0,-76.0,,,,,,,-87.0,,,-85.0,,,,,,-87.0,-85.0,,,2437.0,,,,,,5200.0,2417.0,,2452.0,,,,,,2462.0,2412.0,,,,,,,2412.0,,,2427.0,,,,,,5220.0,2462.0,,
