AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:05
1.4271,-87.0,,
1.6377,-97.0,,
1.9047,-81.0,,
3.6798,-92.0,,
3.877,-89.0,,
5.326,-91.0,,
5.5097,-91.0,,
5.727,-97.0,,
7.5742,-82.0,,
7.7959,-92.0,,
7.9715,-90.0,,
8.1724,-87.0,,
9.6259,-95.0,,
9.8256,-98.0,,
11.4398,-88.0,,
11.8494,-88.0,,
13.7135,-100.0,,
15.3668,-86.0,,
15.7821,-92.0,,
17.6186,-92.0,,
17.8109,-88.0,,
19.0591,-95.0,,
19.4659,-89.0,,
19.6656,-98.0,,
21.3152,-91.0,,
21.5086,-93.0,,
21.6384,,,-100.0
21.7265,-88.0,,
21.941,-95.0,,
23.3444,-84.0,,
23.5633,-84.0,,
23.7577,-85.0,,
25.3839,-79.0,,
25.6155,-85.0,,
25.7919,-80.0,,
27.4279,-87.0,,
27.6335,-97.0,,
27.8282,-91.0,,
28.0467,-97.0,,
29.6717,-84.0,,
29.8653,-85.0,,
31.322,-86.0,,
31.7054,-88.0,,
31.9094,-87.0,,
33.3438,-91.0,,
33.5638,-90.0,,
35.393,-90.0,,
35.6044,-86.0,,
35.8063,-89.0,,
36.0149,-88.0,,
37.4376,-91.0,,
37.6484,-93.0,,
37.8544,-94.0,,
39.475,-92.0,,
39.6864,-91.0,,
39.8925,-90.0,,
40.915,-91.0,,
41.3252,-90.0,,
41.537,-90.0,,
41.7475,-89.0,,
41.9399,-90.0,,
42.3444,-90.0,,
43.6204,-89.0,,
44.0231,-91.0,,
45.6822,-92.0,,
45.877,-92.0,,
46.0808,-91.0,,
47.5116,-93.0,,
47.9112,-92.0,,
48.1515,-96.0,,
49.3542,-93.0,,
49.7686,-92.0,,
51.4072,-90.0,,
51.5975,-94.0,,
51.8269,-89.0,,
53.4304,-94.0,,
53.6459,-89.0,,
53.8325,-94.0,,
55.47,-94.0,,
55.6883,-91.0,,
55.8913,-93.0,,
57.111,-91.0,,
57.5105,-91.0,,
57.5181,,,-105.0
57.9154,-96.0,,
59.3564,-95.0,,
61.3902,-98.0,,
61.6271,-88.0,,
63.4259,-86.0,,
63.6421,-90.0,,
65.4581,-92.0,,
66.5022,-94.0,,
67.2944,-88.0,,
67.51,-91.0,,
67.7049,-87.0,,
67.9264,-93.0,,
69.3331,-92.0,,
69.7364,-91.0,,
71.3961,-85.0,,
71.585,-84.0,,
71.7882,-89.0,,
73.4266,-83.0,,
73.8465,-91.0,,
75.4831,-85.0,,
75.6806,-90.0,,
75.8853,-83.0,,
77.3261,-87.0,,
77.5363,-84.0,,
77.7554,-81.0,,
77.9543,-90.0,,
79.3776,-82.0,,
79.6262,-87.0,,
79.8087,-72.0,,
81.4366,-83.0,,
81.6452,-92.0,,
81.834,-88.0,,
83.4739,-76.0,,
83.6646,-83.0,,
84.0747,-74.0,,
85.5009,-85.0,,
85.7045,-83.0,,
85.9237,-84.0,,
87.3396,-75.0,,
87.5583,-77.0,,
87.7501,-77.0,,
87.9513,-82.0,,
89.3865,-71.0,,
89.8024,-71.0,,
90.0257,-78.0,,
90.2175,-76.0,,
90.4095,-72.0,,
90.6237,-81.0,,
90.8402,-70.0,,
91.0443,-81.0,,
91.2166,-74.0,,
91.4249,-77.0,,
91.6281,-84.0,,
93.4706,-73.0,,
93.7037,-76.0,,
93.8963,-78.0,,
95.3345,-86.0,,
95.5434,-84.0,,
95.7545,-86.0,,
97.385,-72.0,,
97.7988,-75.0,,
99.4443,-89.0,,
99.6371,-86.0,,
99.8436,-79.0,,
101.3114,-92.0,,
101.4021,,-96.0,
101.4769,-89.0,,
101.6773,-87.0,,
101.8816,-91.0,,
102.498,-90.0,,
103.1158,-90.0,,
103.3349,-90.0,,
103.5332,-83.0,,
103.7423,-84.0,,
103.9459,-91.0,,
105.3767,-85.0,,
105.5732,-82.0,,
105.8711,,-100.0,
106.1068,,-96.0,
107.4467,-92.0,,
107.535,,-97.0,
107.6498,-92.0,,
107.8423,-85.0,,
109.4861,-92.0,,
109.9041,-89.0,,
111.5458,-94.0,,
111.6267,,-97.0,
111.7517,-88.0,,
113.5088,,-96.0,
113.6034,-89.0,,
113.69,,-96.0,
113.8206,-78.0,,
113.8794,,-97.0,
114.8348,-81.0,,
115.3241,,-91.0,
115.4798,-85.0,,
115.6725,-88.0,,
117.0985,-80.0,,
117.3177,-85.0,,
117.521,-79.0,,
117.7198,-83.0,,
117.7668,,-96.0,
119.3554,-91.0,,
119.5591,-83.0,,
119.5893,,-97.0,
119.7758,-89.0,,
121.413,-84.0,,
121.4392,,-100.0,
121.6149,-83.0,,
121.6477,,-99.0,
121.8106,-85.0,,
123.4745,-85.0,,
123.4933,,-98.0,
123.6738,-91.0,,
123.8609,-82.0,,
123.9011,,-98.0,
125.3121,-81.0,,
125.3374,,-96.0,
125.5131,-89.0,,
125.7095,-82.0,,
125.9242,-83.0,,
127.3292,-81.0,,
127.5509,-89.0,,
127.6097,,-104.0,
127.7497,-80.0,,
127.7935,,-97.0,
129.3929,-87.0,,
129.6084,-82.0,,
129.6502,,-97.0,
129.8131,-88.0,,
131.4816,-83.0,,
131.6844,-86.0,,
131.8844,-83.0,,
133.3099,-91.0,,
133.5202,-81.0,,
133.5434,,-96.0,
133.7326,-91.0,,
133.9765,-82.0,,
134.0063,,-95.0,
134.5688,,-97.0,
135.3561,-79.0,,
135.5831,-93.0,,
135.7737,-78.0,,
137.2078,-87.0,,
137.4128,-81.0,,
137.4356,,-96.0,
137.841,-80.0,,
137.8497,,-96.0,
139.4644,-91.0,,
139.6643,-81.0,,
139.8722,-89.0,,
141.3052,,-94.0,
141.5044,-82.0,,
141.7205,-83.0,,
141.9293,-91.0,,
142.9468,-84.0,,
143.3585,-91.0,,
143.56,-82.0,,
143.5688,,-97.0,
143.7988,-90.0,,
143.9617,-86.0,,
145.4037,-84.0,,
145.8231,-85.0,,
147.4728,,-96.0,
147.6599,-91.0,,
149.3005,-83.0,,
149.5436,-92.0,,
149.7089,-83.0,,
149.9189,-89.0,,
149.9494,,-95.0,
151.3423,-88.0,,
151.5461,-92.0,,
151.7563,-91.0,,
152.5667,-79.0,,
153.3854,-86.0,,
153.5966,-81.0,,
155.4248,-80.0,,
155.6444,-78.0,,
155.6849,,-99.0,
155.8361,-81.0,,
157.2801,-88.0,,
157.4928,-84.0,,
157.6943,-81.0,,
159.3306,-89.0,,
159.5318,-85.0,,
159.732,-80.0,,
159.9332,-80.0,,
161.3696,-97.0,,
161.5854,-80.0,,
161.7937,-85.0,,
163.4358,-84.0,,
163.651,-81.0,,
165.6856,-85.0,,
165.8942,-90.0,,
167.3296,-80.0,,
167.5387,-76.0,,
167.739,-97.0,,
167.9348,-78.0,,
169.3531,-77.0,,
169.5864,-83.0,,
169.7739,-76.0,,
171.4184,-70.0,,
171.6344,-95.0,,
171.8149,-73.0,,
173.439,-79.0,,
173.8654,-79.0,,
175.2983,-87.0,,
175.4945,-85.0,,
175.7094,-83.0,,
177.3386,-79.0,,
177.5551,-87.0,,
177.7727,-83.0,,
179.8009,-87.0,,
181.4613,-85.0,,
181.6613,-97.0,,
181.8555,-87.0,,
183.0835,-88.0,,
183.307,-83.0,,
183.9027,-85.0,,
185.3394,-80.0,,
185.5468,-81.0,,
185.767,-78.0,,
187.3892,-84.0,,
187.6073,-85.0,,
189.4559,-89.0,,
189.658,-86.0,,
189.8657,-97.0,,
191.1084,-90.0,,
191.3105,-84.0,,
191.5047,-91.0,,
191.6866,-79.0,,
191.8979,-89.0,,
193.3431,-89.0,,
193.5548,-91.0,,
193.7549,-95.0,,
195.3923,-89.0,,
195.5981,-87.0,,
195.8109,-91.0,,
197.4432,-89.0,,
197.6412,-90.0,,
197.8579,-87.0,,
